chapter,character,line_number,text_preview,voice_file
"chapter_1","Ella",142,"I mean, not far far. It's Plymouth, not Mars. But still. I w",""
"chapter_1","Narrator",146,"Amelia wants to say the right thing. She's not sure what the",""
"chapter_1","Amelia",153,"Ella. We'll FaceTime every day. I promise. You'll be so sick",""
"chapter_1","Ella",155,"Every day?",""
"chapter_1","Amelia",157,"Every single day. And I'll send you photos of the sea.",""
"chapter_1","Ella",159,"You'd better. And none of that artsy-angled shit. I want bas",""
"chapter_1","Narrator",161,"They both laugh, and the tight thing in Ella's voice loosens",""
"chapter_1","Ella",163,"Okay. Every day. I'm holding you to that.",""
"chapter_1","Amelia",170,"Yeah. It's going to be weird, isn't it? Not seeing each othe",""
"chapter_1","Narrator",172,"Silence. But not a bad silence.",""
"chapter_1","Ella",174,"Yeah. It is.",""
"chapter_1","Amelia",176,"Like... I know we'll be fine. I know that. But it's still go",""
"chapter_1","Ella",178,"It's been you and me since we were, what, twelve? That's mor",""
"chapter_1","Amelia",180,"We'd have been a very boring married couple.",""
"chapter_1","Ella",182,"Speak for yourself. I'd have been thrilling.",""
"chapter_1","Narrator",184,"They laugh, and it's the kind of laugh that lives right next",""
"chapter_1","Ella",186,"...We will be fine though, won't we?",""
"chapter_1","Amelia",188,"Yeah. We will.",""
"chapter_1","Ella",190,"Right. Good. Now go pack. And eat something — I know you hav",""
"chapter_1","Amelia",192,"I ate.",""
"chapter_1","Ella",194,"Liar.",""
"chapter_1","Amelia",196,"I ate a biscuit.",""
"chapter_1","Ella",198,"Amelia.",""
"chapter_1","Amelia",200,"A whole biscuit, Ella. Not even a half.",""
"chapter_1","Ella",202,"I can't believe I'm losing my best friend to the sea and a b",""
"chapter_1","Narrator",205,"They say goodbye the way they always do — no goodbye at all,","audio/narrator/chapter_1/line_013_L192.ogg"
"chapter_1","Narrator",208,"Amelia sits on the bench for another minute. The light is ch","audio/narrator/chapter_1/line_014_L194.ogg"
"chapter_1","Narrator",210,"Two days.",""
"chapter_1","Narrator",226,"Grace has cooked Amelia's favourite. She does this when she'","audio/narrator/chapter_1/line_016_L210.ogg"
"chapter_1","Mrs. James",228,"Sit down, sit down. Lily, put that phone away.",""
"chapter_1","Lily",230,"I'm literally texting one person.",""
"chapter_1","Mrs. James",232,"You can text them after dinner. In this house we eat with ou",""
"chapter_1","Narrator",235,"Lily rolls her eyes but puts the phone face-down on the tabl","audio/narrator/chapter_1/line_017_L218.ogg"
"chapter_1","Narrator",238,"David comes in from washing his hands. He's been working on ","audio/narrator/chapter_1/line_018_L220.ogg"
"chapter_1","Amelia",240,"Dad, I can—",""
"chapter_1","Mr. James",242,"Eat. You'll be living on pot noodles in a week. Let me have ",""
"chapter_1","Narrator",245,"He says it like a joke. It's not entirely a joke.","audio/narrator/chapter_1/line_019_L226.ogg"
"chapter_1","Narrator",248,"They eat. Grace asks about packing. Amelia says it's fine. L","audio/narrator/chapter_1/line_020_L228.ogg"
"chapter_1","Narrator",251,"Then the conversation shifts. David puts his fork down.","audio/narrator/chapter_1/line_021_L230.ogg"
"chapter_1","Mr. James",253,"So. Plymouth.",""
"chapter_1","Amelia",255,"Plymouth.",""
"chapter_1","Mr. James",257,"What are you... hoping for? From it.",""
"chapter_1","Narrator",260,"Grace looks at Amelia. Lily looks at her phone under the tab","audio/narrator/chapter_1/line_022_L238.ogg"
"chapter_1","Narrator",264,"It's the kind of question that sounds simple and isn't.",""
"chapter_1","Amelia",271,"I want to be the first person in our family with a degree.",""
"chapter_1","Narrator",273,"The table goes quiet. Grace's eyes shine.",""
"chapter_1","Mr. James",275,"You know that's not why we—",""
"chapter_1","Amelia",277,"I know. I know it's not why you're sending me. But it matter",""
"chapter_1","Narrator",279,"David nods. Slowly. His jaw works like he's chewing on words",""
"chapter_1","Mr. James",281,"Your granddad worked the docks for forty years. Your mum gre",""
"chapter_1","Mrs. James",283,"David.",""
"chapter_1","Mr. James",285,"I'm just saying. We're proud of you. Whatever happens.",""
"chapter_1","Narrator",287,"He picks his fork back up. Subject closed. But his eyes are ",""
"chapter_1","Amelia",294,"I just want to figure out who I am, honestly.",""
"chapter_1","Narrator",296,"A beat.",""
"chapter_1","Mrs. James",298,"You're Amelia James. You're our daughter. You're brilliant.",""
"chapter_1","Amelia",300,"No, I mean — I know who I am here. In this kitchen, in Broml",""
"chapter_1","Narrator",302,"Lily looks up from her phone. For once, she's listening.",""
"chapter_1","Mr. James",304,"That's... actually quite a mature thing to say.",""
"chapter_1","Lily",306,"Don't sound so shocked, Dad.",""
"chapter_1","Narrator",308,"They laugh. Grace reaches across the table and squeezes Amel",""
"chapter_1","Mrs. James",310,"You'll find out. And whoever you find — bring her home for C",""
"chapter_1","Amelia",317,"I've been reading about some really interesting stuff. Not j",""
"chapter_1","Mrs. James",319,"Like what kind of older traditions?",""
"chapter_1","Amelia",321,"Well, like... did you know that alchemy wasn't just about tu",""
"chapter_1","Narrator",323,"David blinks.",""
"chapter_1","Mr. James",325,"Right.",""
"chapter_1","Lily",327,"Nerd.",""
"chapter_1","Mrs. James",329,"Lily.",""
"chapter_1","Lily",331,"I didn't say it was bad! I said she's a nerd. Nerds are doin",""
"chapter_1","Amelia",333,"Thanks, Lily. I'll treasure that.",""
"chapter_1","Narrator",338,"They finish dinner. Grace insists on seconds. David washes u","audio/narrator/chapter_1/line_023_L315.ogg"
"chapter_1","Narrator",341,"Amelia stands at the kitchen door for a moment, watching the","audio/narrator/chapter_1/line_024_L317.ogg"
"chapter_1","Narrator",343,"I am going to miss this so much.",""
"chapter_1","Narrator",354,"Her room is in that strange half-state between lived-in and ","audio/narrator/chapter_1/line_025_L329.ogg"
"chapter_1","Narrator",357,"She sits on the bed. Around her: clothes folded by Grace (to","audio/narrator/chapter_1/line_026_L331.ogg"
"chapter_1","Narrator",359,"Okay. Clothes, check. Books, check. Laptop, check. The fairy",""
"chapter_1","Narrator",362,"She pauses. She's forgotten to pack the fairy lights. She un","audio/narrator/chapter_1/line_027_L335.ogg"
"chapter_1","Narrator",364,"Right. One more thing. There's space for one more thing.",""
"chapter_1","Narrator",367,"She looks around the room.","audio/narrator/chapter_1/line_028_L339.ogg"
"chapter_1","Narrator",371,"She can only fit one more thing. What does she take?",""
"chapter_1","Narrator",379,"Piaget. Erikson. Milgram. Pavlov. The entire foundation of m",""
"chapter_1","Narrator",383,"I'm as ready as I'll ever be. Which is to say: not ready at ",""
"chapter_1","Narrator",392,"She picks up the photo from her bedside table. It's in a fra",""
"chapter_1","Narrator",394,"In the picture, they're seventeen. Ella's dress is too big. ",""
"chapter_1","Narrator",396,"She painted this frame. Made me promise to keep it 'somewher",""
"chapter_1","Narrator",398,"She wraps it in a jumper and tucks it into the box. She'll p",""
"chapter_1","Narrator",404,"She picks up the journal from the shelf. She bought it three",""
"chapter_1","Narrator",406,"It's completely empty.",""
"chapter_1","Narrator",408,"I don't know what this is for yet. Notes? Thoughts? A diary?",""
"chapter_1","Narrator",410,"She runs her thumb along the spine. The leather is soft. It ",""
"chapter_1","Narrator",412,"For whatever comes next.",""
"chapter_1","Narrator",414,"She puts it in her bag, next to her phone charger and her he",""
"chapter_1","Narrator",417,"She zips the last box. Stands up. Looks at the room.","audio/narrator/chapter_1/line_029_L388.ogg"
"chapter_1","Narrator",420,"The Blu-Tack marks on the wall where the posters were. The d","audio/narrator/chapter_1/line_030_L390.ogg"
"chapter_1","Narrator",422,"This room will still be here. But it won't be mine anymore. ",""
"chapter_1","Narrator",425,"She turns off the light.","audio/narrator/chapter_1/line_031_L394.ogg"
"chapter_1","Narrator",438,"The bell above the door makes a sound that hasn't changed in","audio/narrator/chapter_1/line_032_L406.ogg"
"chapter_1","Narrator",441,"Mr. Osei is behind the counter, peering at a book through th","audio/narrator/chapter_1/line_033_L408.ogg"
"chapter_1","Mr_osei",443,"Amelia James. My best customer.",""
"chapter_1","Amelia",445,"Mr. Osei, I'm probably your only customer.",""
"chapter_1","Mr_osei",447,"Then best and only. That's even more impressive.",""
"chapter_1","Narrator",450,"He comes out from behind the counter. He moves slowly — he's","audio/narrator/chapter_1/line_034_L416.ogg"
"chapter_1","Mr_osei",452,"Tomorrow, then?",""
"chapter_1","Amelia",454,"Tomorrow.",""
"chapter_1","Mr_osei",456,"Plymouth. Psychology.",""
"chapter_1","Amelia",458,"That's the one.",""
"chapter_1","Mr_osei",460,"Good city. Good university. The sea will do you good. London",""
"chapter_1","Narrator",463,"He looks at her the way he always does — like he's filing he","audio/narrator/chapter_1/line_035_L428.ogg"
"chapter_1","Mr_osei",465,"You'll want a book, then. A leaving gift.",""
"chapter_1","Amelia",467,"Mr. Osei, you don't have to—",""
"chapter_1","Mr_osei",469,"I'm not giving it to you. I'm selling it. At a modest discou",""
"chapter_1","Narrator",472,"He gestures at the shop.","audio/narrator/chapter_1/line_036_L436.ogg"
"chapter_1","Mr_osei",474,"Browse.",""
"chapter_1","Narrator",477,"She does. The shop smells of old paper and wood polish and t","audio/narrator/chapter_1/line_037_L440.ogg"
"chapter_1","Narrator",480,"She wanders between the shelves. Self-help (she avoids). Fic","audio/narrator/chapter_1/line_038_L442.ogg"
"chapter_1","Narrator",483,"And in the back — the shelf she's always been a little curio","audio/narrator/chapter_1/line_039_L444.ogg"
"chapter_1","Mr_osei",495,"Ah. Sensible.",""
"chapter_1","Amelia",497,"Is that a compliment or a criticism?",""
"chapter_1","Mr_osei",499,"From me? Always both.",""
"chapter_1","Mr_osei",503,"Study hard. But not too hard. Leave room for the things you ",""
"chapter_1","Narrator",509,"It's barely a book — more like a pamphlet. Letters to a Youn",""
"chapter_1","Narrator",511,"\""You must change your life.\""",""
"chapter_1","Narrator",513,"That's... not comforting, Rilke. But maybe comfort isn't the",""
"chapter_1","Narrator",515,"She turns to the first letter. Written in 1903 to a young ma",""
"chapter_1","Narrator",517,"If you can survive the solitude.",""
"chapter_1","Mr_osei",519,"Good choice. That one will find you when you need it.",""
"chapter_1","Narrator",521,"He wraps it carefully, as though it were made of glass.",""
"chapter_1","Narrator",528,"She doesn't know why she goes to the back shelf. Call it cur",""
"chapter_1","Narrator",530,"The cover is brown leather, worn smooth at the edges. Gold l",""
"chapter_1","Narrator",532,"She opens it. The pages are thick, old, cream-coloured. And ",""
"chapter_1","Narrator",534,"Handwritten. Neat, old-fashioned cursive:",""
"chapter_1","Narrator",536,"\""The stone is not a stone. The fire is not a fire. Seek the",""
"chapter_1","Narrator",538,"...What?",""
"chapter_1","Narrator",540,"She turns it over. Nothing on the back. No name, no date.",""
"chapter_1","Narrator",542,"She looks at the first page. An illustration of a sunrise ov",""
"chapter_1","Narrator",544,"\""Nature is the physician of herself, and to know the proces",""
"chapter_1","Narrator",546,"I don't understand half of this. But something about it feel",""
"chapter_1","Mr_osei",548,"Ah.",""
"chapter_1","Mr_osei",552,"That one's been here a long time. I wondered who it was for.",""
"chapter_1","Amelia",554,"It's about alchemy?",""
"chapter_1","Mr_osei",556,"It's about transformation. Same thing, depending on who you ",""
"chapter_1","Mr_osei",560,"That one's on the house. Consider it a farewell from the sho",""
"chapter_1","Amelia",562,"Mr. Osei—",""
"chapter_1","Mr_osei",564,"Take it, Amelia. Some books choose their readers.",""
"chapter_1","Narrator",568,"Seek the pellar where the land meets the sea. I don't even k",""
"chapter_1","Narrator",571,"The bell rings again as she leaves. She pauses on the doorst","audio/narrator/chapter_1/line_040_L531.ogg"
"chapter_1","Narrator",574,"She doesn't notice the symbol carved into the door frame at ","audio/narrator/chapter_1/line_041_L533.ogg"
"chapter_1","Narrator",587,"She walks along the South Bank because she needs to walk and","audio/narrator/chapter_1/line_042_L545.ogg"
"chapter_1","Narrator",590,"London at night. The Tate Modern glowing on the opposite ban","audio/narrator/chapter_1/line_043_L547.ogg"
"chapter_1","Narrator",593,"It's cold for September. She's wearing the corduroy jacket a","audio/narrator/chapter_1/line_044_L549.ogg"
"chapter_1","Narrator",602,"Below her, the river moves. It always moves. It doesn't care","audio/narrator/chapter_1/line_047_L555.ogg"
"chapter_1","Narrator",606,"She stands there, and something rises in her.",""
"chapter_1","Narrator",613,"I'm going to make everyone proud.",""
"chapter_1","Narrator",615,"The thought arrives like a resolution. Clear and bright and ",""
"chapter_1","Narrator",617,"Mum and Dad. Ella. Mr. Osei. The teachers who wrote my refer",""
"chapter_1","Narrator",619,"She tightens her grip on the railing.",""
"chapter_1","Narrator",621,"I'm going to get a first. I'm going to understand psychology",""
"chapter_1","Narrator",623,"The river doesn't respond. It just keeps moving.",""
"chapter_1","Narrator",625,"And when I come back, I'll come back different. Better. Some",""
"chapter_1","Narrator",627,"It's a good thought. A strong thought. The kind of thought t",""
"chapter_1","Narrator",629,"Whether it's enough to keep warm through winter — she'll fin",""
"chapter_1","Narrator",635,"I'm terrified and I don't know if I can do this.",""
"chapter_1","Narrator",637,"The thought arrives like a wave — the kind you don't see com",""
"chapter_1","Narrator",639,"What if I'm not smart enough? What if everyone else is smart",""
"chapter_1","Narrator",641,"She grips the railing. Breathes.",""
"chapter_1","Narrator",643,"Okay. Okay.",""
"chapter_1","Narrator",645,"She breathes again. The river doesn't care. That's almost co",""
"chapter_1","Narrator",647,"It's okay to be scared. That's what Dr. Williams said in the",""
"chapter_1","Narrator",649,"She looks at the water. Black and gold. Moving.",""
"chapter_1","Narrator",651,"I'm terrified. And I'm going anyway. And maybe that's enough",""
"chapter_1","Narrator",653,"It's not a triumphant feeling. It's a quiet one. But it hold",""
"chapter_1","Narrator",659,"She doesn't think.",""
"chapter_1","Narrator",661,"She watches.",""
"chapter_1","Narrator",663,"The water moves. Streetlight catches it in lines and lets it",""
"chapter_1","Narrator",665,"She watches that too.",""
"chapter_1","Narrator",667,"There's a word for this — she read it somewhere. Sonder. The",""
"chapter_1","Narrator",669,"But this isn't sonder. This is the river version. The realis",""
"chapter_1","Narrator",671,"It just moves.",""
"chapter_1","Narrator",673,"And something in her — the anxious, planning, over-reading p",""
"chapter_1","Narrator",675,"...",""
"chapter_1","Narrator",677,"She stands there until the cold gets too much. Then she walk",""
"chapter_1","Narrator",691,"Midnight.","audio/narrator/chapter_1/line_048_L643.ogg"
"chapter_1","Narrator",694,"Her room is boxes and bare walls and the ghost-shapes of thi","audio/narrator/chapter_1/line_049_L645.ogg"
"chapter_1","Narrator",697,"She's in bed. The duvet is the same one she's had since Year","audio/narrator/chapter_1/line_050_L647.ogg"
"chapter_1","Narrator",700,"Downstairs, she can hear her parents. Not the words — just t","audio/narrator/chapter_1/line_051_L649.ogg"
"chapter_1","Narrator",705,"I am eighteen years old and I have never lived more than for","audio/narrator/chapter_1/line_052_L651.ogg"
"chapter_1","Narrator",708,"She stares at the ceiling. The glow-in-the-dark stars are st","audio/narrator/chapter_1/line_053_L655.ogg"
"chapter_1","Narrator",710,"Tomorrow I will sit in a car with my dad for four hours and ",""
"chapter_1","Narrator",713,"Her phone lights up on the pillow beside her.","audio/narrator/chapter_1/line_054_L659.ogg"
"chapter_1","Narrator",717,"A text from Ella:","audio/narrator/chapter_1/line_055_L662.ogg"
"chapter_1","Narrator",719,"you're going to be amazing. don't forget me x",""
"chapter_1","Narrator",722,"She picks up the phone. Types a reply. Deletes it. Types ano","audio/narrator/chapter_1/line_056_L666.ogg"
"chapter_1","Narrator",725,"She puts the phone down.","audio/narrator/chapter_1/line_057_L668.ogg"
"chapter_1","Narrator",727,"I won't forget you. How could I forget you? You're the reale",""
"chapter_1","Narrator",730,"She closes her eyes.","audio/narrator/chapter_1/line_058_L672.ogg"
"chapter_1","Narrator",733,"Sleep comes slowly, in pieces, like a tide coming in — retre","audio/narrator/chapter_1/line_059_L674.ogg"
"chapter_1","Narrator",736,"At some point, the night ends.","audio/narrator/chapter_1/line_060_L676.ogg"
"chapter_1","Centered",743,"End of Chapter One",""
"chapter_10","Centered",23,"Chapter Ten\n\nThe Road Back",""
"chapter_10","Narrator",36,"The train from Plymouth to Paddington takes three hours and ",""
"chapter_10","Narrator",38,"Amelia watches the landscape change — Cornwall's granite and",""
"chapter_10","Narrator",43,"At Reading, the buildings multiply. At Slough, the sky gets ",""
"chapter_10","Narrator",45,"London.",""
"chapter_10","Narrator",47,"It's the same. Of course it is. The Tube is the same. The es",""
"chapter_10","Narrator",49,"But she sees it differently.",""
"chapter_10","Narrator",51,"I used to be part of this. This flow. This automatic life. I",""
"chapter_10","Narrator",53,"She walks from the station. Her bag is heavy. The streets ar",""
"chapter_10","Narrator",62,"The front door.",""
"chapter_10","Narrator",64,"Amelia puts her key in the lock and the smell hits her first",""
"chapter_10","Mrs. James",66,"Amelia!",""
"chapter_10","Narrator",68,"Grace appears from the kitchen. The hug is immediate, envelo",""
"chapter_10","Mrs. James",70,"Let me look at you. Oh, you've lost weight. Have you been ea",""
"chapter_10","Amelia",72,"Mum, I've been eating fine.",""
"chapter_10","Mrs. James",74,"You look tired.",""
"chapter_10","Amelia",76,"I'm a student. We're all tired.",""
"chapter_10","Narrator",78,"Grace holds her at arm's length. Studies her. Mothers see ev",""
"chapter_10","Mrs. James",80,"Something happened.",""
"chapter_10","Narrator",82,"It's not a question.",""
"chapter_10","Amelia",84,"A lot of things happened. I'll tell you about them.",""
"chapter_10","Mrs. James",86,"At dinner. Your father's making bolognese.",""
"chapter_10","Mr. James",88,"I'm not making bolognese, I'm making a ragù. There's a diffe",""
"chapter_10","Narrator",90,"David appears. The hug is shorter, tighter, more contained.",""
"chapter_10","Mr. James",92,"Good to have you back.",""
"chapter_10","Amelia",94,"Good to be back.",""
"chapter_10","Amelia",98,"How's Lily?",""
"chapter_10","Narrator",100,"Grace's face does something complicated.",""
"chapter_10","Mrs. James",102,"She's... sixteen.",""
"chapter_10","Narrator",112,"The café in Bloomsbury. Their café — they've been coming her",""
"chapter_10","Narrator",114,"Ella is already there.",""
"chapter_10","Narrator",116,"She stands up. She's wearing a new jacket — leather, vintage",""
"chapter_10","Ella",118,"Oh my God.",""
"chapter_10","Narrator",120,"The hug is long.",""
"chapter_10","Ella",122,"You look different.",""
"chapter_10","Amelia",124,"You look different.",""
"chapter_10","Ella",126,"Good different?",""
"chapter_10","Amelia",128,"Always good different.",""
"chapter_10","Narrator",130,"They sit. The coffee arrives. The barista calls Ella 'Emily.",""
"chapter_10","Narrator",132,"And then—",""
"chapter_10","Narrator",134,"The gap.",""
"chapter_10","Ella",138,"So. Tell me everything.",""
"chapter_10","Narrator",145,"Seven months. A lifetime. How much does Amelia share?",""
"chapter_10","Narrator",153,"She tells her.",""
"chapter_10","Narrator",155,"Not all of it — not in order, not neatly. But the real thing",""
"chapter_10","Narrator",157,"Sarah.",""
"chapter_10","Amelia",159,"My friend tried to kill herself. And I—",""
"chapter_10","Ella",163,"You don't have to—",""
"chapter_10","Amelia",165,"I want to. I need to tell someone who knew me before.",""
"chapter_10","Narrator",167,"She tells Ella about the hospital. The waiting room. The flu",""
"chapter_10","Narrator",169,"Ella doesn't interrupt. She doesn't say 'oh my God' or 'how ",""
"chapter_10","Ella",171,"And you? How are you?",""
"chapter_10","Amelia",173,"I'm — I don't know. I'm different. I'm not the Amelia who ca",""
"chapter_10","Ella",175,"That's okay. I'm not the same Ella either.",""
"chapter_10","Amelia",177,"No?",""
"chapter_10","Ella",179,"I've started painting again. Properly. Not for anyone — for ",""
"chapter_10","Amelia",181,"Ella.",""
"chapter_10","Ella",183,"I know. It's terrifying.",""
"chapter_10","Narrator",185,"They look at each other. The real versions of themselves. Me",""
"chapter_10","Amelia",187,"I'm proud of you.",""
"chapter_10","Ella",189,"I'm proud of you.",""
"chapter_10","Narrator",196,"She tells Ella about the good things. The essays. The Hoe at",""
"chapter_10","Narrator",198,"She mentions Sarah. But carefully.",""
"chapter_10","Amelia",200,"A friend had a really difficult time. She's getting help now",""
"chapter_10","Ella",202,"Are you okay?",""
"chapter_10","Amelia",204,"I'm getting there.",""
"chapter_10","Narrator",206,"Ella looks at her. Ella always could read her.",""
"chapter_10","Ella",208,"You're not telling me everything.",""
"chapter_10","Amelia",210,"Not today. But I will.",""
"chapter_10","Ella",212,"Promise?",""
"chapter_10","Amelia",214,"Promise.",""
"chapter_10","Narrator",216,"The promise sits between them. Real.",""
"chapter_10","Narrator",222,"She does the Amelia-and-Ella greatest hits.",""
"chapter_10","Narrator",224,"The barista joke. The story about the sixth-form geography t",""
"chapter_10","Narrator",226,"Ella laughs. They both laugh. It's easy and warm and complet",""
"chapter_10","Narrator",228,"Underneath the performance, the distance grows.",""
"chapter_10","Ella",230,"Amelia.",""
"chapter_10","Amelia",232,"Yeah?",""
"chapter_10","Ella",234,"You're doing the thing.",""
"chapter_10","Amelia",236,"What thing?",""
"chapter_10","Ella",238,"The thing where you smile and say the right things and none ",""
"chapter_10","Narrator",240,"Silence.",""
"chapter_10","Ella",242,"I've known you since we were fourteen. You can't fake it wit",""
"chapter_10","Narrator",244,"But Amelia can. That's the terrible thing. She can.",""
"chapter_10","Amelia",246,"I'm fine, Els. Really.",""
"chapter_10","Narrator",248,"Ella lets it go. But something in her eyes closes.",""
"chapter_10","Narrator",257,"Dinner.",""
"chapter_10","Narrator",259,"David's ragù is — it's always been the same ragù. Slow-cooke",""
"chapter_10","Narrator",261,"Lily appears. She's taller. Or Amelia is shorter. The headph",""
"chapter_10","Lily",263,"Hey.",""
"chapter_10","Amelia",265,"Hey yourself. You grew.",""
"chapter_10","Lily",267,"That's what happens.",""
"chapter_10","Narrator",269,"The four of them eat. Grace asks questions — modules, grades",""
"chapter_10","Narrator",271,"Normal things.",""
"chapter_10","Narrator",273,"Then Grace puts down her fork.",""
"chapter_10","Mrs. James",275,"Amelia. We've been worried.",""
"chapter_10","Mrs. James",279,"Your calls have been shorter. And sometimes you sound — I do",""
"chapter_10","Narrator",286,"Grace and David are looking at their daughter. Waiting.",""
"chapter_10","Amelia",292,"You're right. I've been far away.",""
"chapter_10","Narrator",294,"She doesn't tell them everything. She doesn't tell them abou",""
"chapter_10","Amelia",298,"I'm not the same person who got on that train in September. ",""
"chapter_10","Narrator",300,"Grace is crying. Quietly. She's always cried quietly.",""
"chapter_10","Narrator",302,"David puts down his knife and fork.",""
"chapter_10","Mr. James",304,"That sounds about right.",""
"chapter_10","Amelia",306,"Dad?",""
"chapter_10","Mr. James",308,"Different is what university's for. We didn't send you to Pl",""
"chapter_10","Narrator",310,"A pause.",""
"chapter_10","Mr. James",312,"Have you? Found out?",""
"chapter_10","Amelia",314,"I'm working on it.",""
"chapter_10","Mr. James",316,"Good enough.",""
"chapter_10","Narrator",318,"Grace wipes her eyes and reaches across the table for Amelia",""
"chapter_10","Mrs. James",320,"We're proud of you. Whatever you found out.",""
"chapter_10","Amelia",326,"It's been intense. But good? I think good.",""
"chapter_10","Narrator",328,"She tells them about the essays, the marks, the improvement.",""
"chapter_10","Narrator",330,"She makes it sound like an adventure. Which it was. But she ",""
"chapter_10","Mrs. James",332,"And your friends? You talk about them a lot.",""
"chapter_10","Amelia",334,"They're the best. Truly.",""
"chapter_10","Narrator",336,"Grace looks satisfied. David nods.",""
"chapter_10","Narrator",338,"She's protected them. That's what children do, eventually — ",""
"chapter_10","Amelia",343,"Can we just — not do the deep conversation tonight? I just g",""
"chapter_10","Mrs. James",345,"Of course. Yes. Of course.",""
"chapter_10","Narrator",347,"But Grace's hand shakes slightly as she picks up her fork. A",""
"chapter_10","Narrator",349,"The dinner is pleasant and careful and Amelia hates every mi",""
"chapter_10","Narrator",358,"Late evening. Amelia knocks on Lily's door.",""
"chapter_10","Lily",360,"What?",""
"chapter_10","Amelia",362,"Can I come in?",""
"chapter_10","Lily",366,"Fine.",""
"chapter_10","Narrator",370,"She's always drawn. But this is different. This is serious.",""
"chapter_10","Amelia",372,"These are good.",""
"chapter_10","Lily",374,"They're okay.",""
"chapter_10","Amelia",376,"Lily, they're really good.",""
"chapter_10","Narrator",378,"Lily shrugs. But her shoulders unknot slightly.",""
"chapter_10","Amelia",380,"How's school?",""
"chapter_10","Lily",382,"Fine.",""
"chapter_10","Amelia",384,"How's really?",""
"chapter_10","Narrator",386,"Lily looks at her. The calculation of a sixteen-year-old dec",""
"chapter_10","Lily",388,"Since you left — it's been weird.",""
"chapter_10","Amelia",390,"Weird how?",""
"chapter_10","Lily",392,"Mum's anxious all the time. She checks on me, like, constant",""
"chapter_10","Amelia",394,"I'm sorry.",""
"chapter_10","Lily",396,"It's not your fault. It's just — it was better when you were",""
"chapter_10","Narrator",398,"Oh.",""
"chapter_10","Lily",400,"And school is — I don't know. Everyone's so loud. And fake. ",""
"chapter_10","Amelia",402,"Not?",""
"chapter_10","Lily",404,"Not unhappy. Just... tired of pretending.",""
"chapter_10","Narrator",411,"Lily is sixteen and trying to be honest. This is new.",""
"chapter_10","Narrator",419,"She sits on Lily's bed.",""
"chapter_10","Amelia",421,"Can I tell you something?",""
"chapter_10","Lily",423,"If it's advice about studying harder—",""
