show keyword,prompt,environment,lighting,characters in scene,action in scene,Character,Eye color,Hair style,Hair color,Age,Complexion
amelia_park_future3,"A digital art style image of a bench in a park surrounded by trees and flowers. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is trying to stay positive and open.","Bench in a park surrounded by trees and flowers","Daylight","Amelia","Amelia trying to stay positive and open","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_park_walk,"A digital art style image of a park path with trees and flowers. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is walking and thinking about relationships.","Park path with trees and flowers","Daylight","Amelia","Amelia walking and thinking about relationships","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_park_walk2,"A digital art style image of a park path with trees and flowers. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling sad about saying goodbye.","Park path with trees and flowers","Daylight","Amelia","Amelia feeling sad about saying goodbye","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_park_walk3,"A digital art style image of a park path with trees and flowers. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is watching families and couples.","Park path with trees and flowers","Daylight","Amelia","Amelia watching families and couples","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_park_exit,"A digital art style image of the exit of a park with trees and a path. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is deciding to go home.","Park exit with trees and path","Daylight","Amelia","Amelia deciding to go home","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_room_packing,"A digital art style image of Amelia's bedroom with packed items and an open suitcase. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is packing for university.","Amelia's bedroom with packed items and open suitcase","Daylight","Amelia","Amelia packing for university","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_room_closet,"A digital art style image of Amelia's bedroom closet with clothes and a suitcase. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is checking her clothes.","Amelia's bedroom closet with clothes and suitcase","Daylight","Amelia","Amelia checking her clothes","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_room_bookshelf,"A digital art style image of a bookshelf filled with books and notebooks in Amelia's bedroom. The daylight brightens the scene. The focus is on the bookshelf and books.","Bookshelf filled with books and notebooks","Daylight","None","Focus on bookshelf and books","None","","","","",""
amelia_room_study,"A digital art style image of a study desk with stationery and books in Amelia's bedroom. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is organizing her study materials.","Study desk with stationery and books","Daylight","Amelia","Amelia organizing her study materials","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_room_desk,"A digital art style image of a study desk with notes, pens, highlighters, and a laptop in Amelia's bedroom. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is preparing her desk.","Study desk with notes, pens, highlighters, and laptop","Daylight","Amelia","Amelia preparing her desk","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_room_study_done,"A digital art style image of a neatly organized study desk in Amelia's bedroom. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling prepared.","Study desk neatly organized","Daylight","Amelia","Amelia feeling prepared","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_phone_call,"A digital art style image of Amelia in her bedroom with her on the phone. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is calling Ella.","Amelia's bedroom with her on the phone","Daylight","Amelia","Amelia calling Ella","Amelia","Brown","Long and wavy","Brown","18","Fair"
ella_phone_screen,"A digital art style image of a phone screen showing Ella's face. The daylight brightens the scene. Ella, an 18-year-old girl with blue eyes, short curly blonde hair, and a fair complexion, is talking to Amelia.","Phone screen showing Ella's face","Daylight","Amelia and Ella","Amelia talking to Ella","Ella","Blue","Short and curly","Blonde","18","Fair"
amelia_phone_call_2,"A digital art style image of Amelia in her bedroom with her on the phone. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is listening to Ella.","Amelia's bedroom with her on the phone","Daylight","Amelia","Amelia listening to Ella","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_phone_call_end,"A digital art style image of Amelia in her bedroom with her ending the phone call. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling better.","Amelia's bedroom with her ending the call","Daylight","Amelia","Amelia feeling better","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_meditation,"A digital art style image of Amelia in her bedroom sitting and meditating. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is starting to meditate.","Amelia's bedroom with her sitting and meditating","Daylight","Amelia","Amelia starting to meditate","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_meditation_2,"A digital art style image of Amelia in her bedroom meditating. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is focusing on her breathing.","Amelia's bedroom with her meditating","Daylight","Amelia","Amelia focusing on her breathing","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_meditation_3,"A digital art style image of Amelia in her bedroom looking calm while meditating. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling at peace.","Amelia's bedroom with her looking calm","Daylight","Amelia","Amelia feeling at peace","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_room_finished_packing,"A digital art style image of Amelia's bedroom with packed items and a closed suitcase. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling ready.","Amelia's bedroom with packed items and closed suitcase","Daylight","Amelia","Amelia feeling ready","Amelia","Brown","Long and wavy","Brown","18","Fair"
dinner_table,"A digital art style image of a family dining table set for dinner. The scene is lit with evening lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is having dinner with her parents.","Family dining table set for dinner","Evening lighting","Amelia and her parents","Amelia and her parents having dinner","Amelia","Brown","Long and wavy","Brown","18","Fair"
dinner_family_talking,"A digital art style image of a family dining table with food and drinks. The scene is lit with evening lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is talking with her parents.","Family dining table with food and drinks","Evening lighting","Amelia and her parents","Amelia and her parents talking","Amelia","Brown","Long and wavy","Brown","18","Fair"
dinner_future_plans,"A digital art style image of a family dining table with Amelia talking to her parents. The scene is lit with evening lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is discussing her future plans.","Family dining table with Amelia talking to her parents","Evening lighting","Amelia and her parents","Amelia discussing her future plans","Amelia","Brown","Long and wavy","Brown","18","Fair"
dinner_future_plans_2,"A digital art style image of a family dining table with Amelia's parents listening to her. The scene is lit with evening lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is explaining her ambitions.","Family dining table with parents listening to Amelia","Evening lighting","Amelia and her parents","Amelia explaining her ambitions","Amelia","Brown","Long and wavy","Brown","18","Fair"
dinner_ask_advice,"A digital art style image of a family dining table with Amelia asking her parents for advice. The scene is lit with evening lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is seeking advice from her parents.","Family dining table with Amelia asking her parents for advice","Evening lighting","Amelia and her parents","Amelia seeking advice from her parents","Amelia","Brown","Long and wavy","Brown","18","Fair"
dinner_ask_advice_2,"A digital art style image of a family dining table with Amelia's parents giving her advice. The scene is lit with evening lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is listening to her parents.","Family dining table with parents giving advice","Evening lighting","Amelia and her parents","Amelia listening to her parents' advice","Amelia","Brown","Long and wavy","Brown","18","Fair"
dinner_gratitude,"A digital art style image of a family dining table with Amelia expressing gratitude to her parents. The scene is lit with evening lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is thanking her parents.","Family dining table with Amelia expressing gratitude","Evening lighting","Amelia and her parents","Amelia thanking her parents","Amelia","Brown","Long and wavy","Brown","18","Fair"
dinner_gratitude_2,"A digital art style image of a family dining table with Amelia's parents responding to her gratitude. The scene is lit with evening lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling appreciative.","Family dining table with parents responding to Amelia","Evening lighting","Amelia and her parents","Amelia feeling appreciative","Amelia","Brown","Long and wavy","Brown","18","Fair"
dinner_conversation,"A digital art style image of a family dining table with everyone talking. The scene is lit with evening lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is enjoying the conversation with her parents.","Family dining table with everyone talking","Evening lighting","Amelia and her parents","Amelia enjoying the conversation","Amelia","Brown","Long and wavy","Brown","18","Fair"
tea_house,"A digital art style image of a cozy tea house with tables and chairs. The afternoon light brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is meeting Ella for tea.","Cozy tea house with tables and chairs","Afternoon light","Amelia and Ella","Amelia and Ella meeting for tea","Amelia","Brown","Long and wavy","Brown","18","Fair"
tea_conversation,"A digital art style image of a tea house table with tea and snacks. The afternoon light brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, and Ella, an 18-year-old girl with blue eyes, short curly blonde hair, and a fair complexion, are talking.","Tea house table with tea and snacks","Afternoon light","Amelia and Ella","Amelia and Ella talking","Amelia","Brown","Long and wavy","Brown","18","Fair"
tea_university_plans,"A digital art style image of a tea house table with Amelia discussing university plans. The afternoon light brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is talking to Ella, an 18-year-old girl with blue eyes, short curly blonde hair, and a fair complexion","Tea house table with Amelia discussing university plans","Afternoon light","Amelia and Ella","Amelia discussing her plans","Amelia","Brown","Long and wavy","Brown","18","Fair"
tea_university_plans_2,"A digital art style image of a tea house table with Ella giving advice. The afternoon light brightens the scene. Ella, an 18-year-old girl with blue eyes, short curly blonde hair, and a fair complexion, is giving advice to Amelia.","Tea house table with Ella giving advice","Afternoon light","Amelia and Ella","Ella giving advice to Amelia","Ella","Blue","Short and curly","Blonde","18","Fair"
tea_remember_school,"A digital art style image of a tea house table with Amelia reminiscing about school. The afternoon light brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is talking to Ella.","Tea house table with Amelia reminiscing about school","Afternoon light","Amelia and Ella","Amelia talking about school days","Amelia","Brown","Long and wavy","Brown","18","Fair"
tea_remember_school_2,"A digital art style image of a tea house table with Ella responding to Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion. The afternoon light brightens the scene. Ella, an 18-year-old girl with blue eyes, short curly blonde hair, and a fair complexion, is responding to Amelia's memories.","Tea house table with Ella responding to Amelia","Afternoon light","Amelia and Ella","Ella responding to Amelia","Ella","Blue","Short and curly","Blonde","18","Fair"
tea_share_fears,"A digital art style image of a tea house table with Amelia sharing her fears. The afternoon light brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is opening up to Ella, an 18-year-old girl with blue eyes, short curly blonde hair, and a fair complexion","Tea house table with Amelia sharing her fears","Afternoon light","Amelia and Ella","Amelia opening up about her fears","Amelia","Brown","Long and wavy","Brown","18","Fair"
tea_share_fears_2,"A digital art style image of a tea house table with Ella comforting Amelia. The afternoon light brightens the scene. Ella, an 18-year-old girl with blue eyes, short curly blonde hair, and a fair complexion, is comforting Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion","Tea house table with Ella comforting Amelia","Afternoon light","Amelia and Ella","Ella comforting Amelia","Ella","Blue","Short and curly","Blonde","18","Fair"
tea_goodbye,"A digital art style image of a tea house table with Amelia and Ella saying goodbye. The afternoon light brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, and Ella, an 18-year-old girl with blue eyes, short curly blonde hair, and a fair complexion, are parting ways.","Tea house table with Amelia and Ella saying goodbye","Afternoon light","Amelia and Ella","Amelia and Ella parting ways","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_entrance,"A digital art style image of the entrance to a museum with exhibits in view. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is entering the museum.","Entrance to a museum with exhibits in view","Well-lit","Amelia","Amelia entering the museum","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_hall,"A digital art style image of a museum hall with various exhibits. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is exploring the exhibits.","Museum hall with various exhibits","Well-lit","Amelia","Amelia exploring the exhibits","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_human_evolution,"A digital art style image of the anthropology section with human evolution exhibits. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is learning about human evolution.","Anthropology section with human evolution exhibits","Well-lit","Amelia","Amelia learning about human evolution","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_human_evolution_2,"A digital art style image of a close-up of human evolution exhibits. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling fascinated.","Close-up of human evolution exhibits","Well-lit","Amelia","Amelia feeling fascinated","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_human_evolution_3,"A digital art style image of the anthropology section with Amelia reading. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is reading about evolution.","Anthropology section with Amelia reading","Well-lit","Amelia","Amelia reading about evolution","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_ancient_artifacts,"A digital art style image of exhibits of ancient artifacts and relics. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is studying ancient artifacts.","Exhibits of ancient artifacts and relics","Well-lit","Amelia","Amelia studying ancient artifacts","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_ancient_artifacts_2,"A digital art style image of a close-up of ancient artifacts. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is appreciating the artifacts.","Close-up of ancient artifacts","Well-lit","Amelia","Amelia appreciating the artifacts","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_ancient_artifacts_3,"A digital art style image of exhibits with detailed designs. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is fascinated by the designs.","Exhibits with detailed designs","Well-lit","Amelia","Amelia fascinated by the designs","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_reflect_humanity,"A digital art style image of exhibits on human nature and culture. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is reflecting on humanity.","Exhibits on human nature and culture","Well-lit","Amelia","Amelia reflecting on humanity","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_reflect_humanity_2,"A digital art style image of a close-up of cultural exhibits. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is pondering deeper questions.","Close-up of cultural exhibits","Well-lit","Amelia","Amelia pondering deeper questions","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_reflect_humanity_3,"A digital art style image of exhibits with historical significance. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling connected to history.","Exhibits with historical significance","Well-lit","Amelia","Amelia feeling connected to history","Amelia","Brown","Long and wavy","Brown","18","Fair"
museum_exit,"A digital art style image of the museum exit with Amelia leaving. The scene is well-lit. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling enlightened.","Museum exit with Amelia leaving","Well-lit","Amelia","Amelia feeling enlightened","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_evening,"A digital art style image of a riverside view with sunset. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is enjoying the peaceful atmosphere.","Riverside view with sunset","Sunset lighting","Amelia","Amelia enjoying the peaceful atmosphere","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_sunset,"A digital art style image of the sunset over the river. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is watching the sunset.","View of the sunset over the river","Sunset lighting","Amelia","Amelia watching the sunset","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_sunset_closeup,"A digital art style image of a close-up of the colorful sunset. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling inspired.","Close-up of the colorful sunset","Sunset lighting","Amelia","Amelia feeling inspired","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_sunset_end,"A digital art style image of the riverside view with fading light. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling peaceful.","Riverside view with fading light","Sunset lighting","Amelia","Amelia feeling peaceful","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_journal,"A digital art style image of Amelia writing in her journal by the river. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is reflecting on her thoughts.","Amelia writing in her journal by the river","Sunset lighting","Amelia","Amelia reflecting on her thoughts","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_journal_closeup,"A digital art style image of a close-up of Amelia writing. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is processing her emotions.","Close-up of Amelia writing","Sunset lighting","Amelia","Amelia processing her emotions","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_journal_end,"A digital art style image of Amelia finishing her journal entry. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling at ease.","Amelia finishing her journal entry","Sunset lighting","Amelia","Amelia feeling at ease","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_people_watching,"A digital art style image of Amelia observing people by the river. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is practicing her skills of observation.","Amelia observing people by the river","Sunset lighting","Amelia","Amelia practicing her skills of observation","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_people_watching_closeup,"A digital art style image of a close-up of Amelia watching people. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is thinking about human behavior.","Close-up of Amelia watching people","Sunset lighting","Amelia","Amelia thinking about human behavior","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_people_watching_end,"A digital art style image of Amelia reflecting on her observations. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling insightful.","Amelia reflecting on her observations","Sunset lighting","Amelia","Amelia feeling insightful","Amelia","Brown","Long and wavy","Brown","18","Fair"
thames_exit,"A digital art style image of the riverside path with Amelia leaving. The scene is illuminated by the sunset lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling refreshed.","Riverside path with Amelia leaving","Sunset lighting","Amelia","Amelia feeling refreshed","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore,"A digital art style image of a cozy bookstore with shelves of books. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is browsing the books.","Cozy bookstore with shelves of books","Indoor lighting","Amelia","Amelia browsing the books","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_aisles,"A digital art style image of aisles filled with books in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is walking through the aisles.","Aisles filled with books","Indoor lighting","Amelia","Amelia walking through the aisles","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_psychology,"A digital art style image of the psychology section with various books in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is exploring the psychology section.","Psychology section with various books","Indoor lighting","Amelia","Amelia exploring the psychology section","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_psychology_closeup,"A digital art style image of a close-up of psychology books in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is picking out books.","Close-up of psychology books","Indoor lighting","Amelia","Amelia picking out books","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_psychology_end,"A digital art style image of the psychology section with selected books in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling inspired.","Psychology section with selected books","Indoor lighting","Amelia","Amelia feeling inspired","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_occult,"A digital art style image of the occult section with mystical books in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is intrigued by occult books.","Occult section with mystical books","Indoor lighting","Amelia","Amelia intrigued by occult books","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_occult_closeup,"A digital art style image of a close-up of occult books in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is selecting occult books.","Close-up of occult books","Indoor lighting","Amelia","Amelia selecting occult books","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_occult_end,"A digital art style image of the occult section with selected books in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is planning to explore the books.","Occult section with selected books","Indoor lighting","Amelia","Amelia planning to explore the books","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_meditation,"A digital art style image of the meditation section with guides and books in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is looking for meditation guides.","Meditation section with guides and books","Indoor lighting","Amelia","Amelia looking for meditation guides","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_meditation_closeup,"A digital art style image of a close-up of meditation guides in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is choosing a guide.","Close-up of meditation guides","Indoor lighting","Amelia","Amelia choosing a guide","Amelia","Brown","Long and wavy","Brown","18","Fair"
bookstore_meditation_end,"A digital art style image of the meditation section with a selected book in a bookstore. The scene is lit with indoor lighting. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling prepared.","Meditation section with selected book","Indoor lighting","Amelia","Amelia feeling prepared","Amelia","Brown","Long and wavy","Brown","18","Fair"
