chapter;show keyword;characters;environment;artstyle;ai prompt;prompt format template
3_refusal_of_the_call.rpy;show amelia_liz_first_meeting_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Liz (18, olive skin, short curly hair, green eyes, wearing casual clothes);Dorm room (cozy, posters on walls, desk with books, bed neatly made);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia meeting her roommate Liz for the first time in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. Liz has olive skin, short curly hair, and green eyes. They are both wearing casual clothes. The dorm room is cozy with posters on the walls, a desk with books, and a neatly made bed. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] meeting her roommate Liz for the first time in their dorm room. Liz is [Liz description]. They are wearing [clothes]. The dorm room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_comforting_liz_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Liz (18, olive skin, short curly hair, green eyes, wearing casual clothes);Dorm room (cozy, posters on walls, desk with books, bed neatly made);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia comforting her roommate Liz in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. Liz has olive skin, short curly hair, and green eyes. They are both wearing casual clothes. The dorm room is cozy with posters on the walls, a desk with books, and a neatly made bed. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] comforting her roommate Liz in their dorm room. Liz is [Liz description]. They are wearing [clothes]. The dorm room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_liz_bonding_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Liz (18, olive skin, short curly hair, green eyes, wearing casual clothes);Dorm room (cozy, posters on walls, desk with books, bed neatly made);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia bonding with her roommate Liz in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. Liz has olive skin, short curly hair, and green eyes. They are both wearing casual clothes. The dorm room is cozy with posters on the walls, a desk with books, and a neatly made bed. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] bonding with her roommate Liz in their dorm room. Liz is [Liz description]. They are wearing [clothes]. The dorm room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_advice_liz_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Liz (18, olive skin, short curly hair, green eyes, wearing casual clothes);Dorm room (cozy, posters on walls, desk with books, bed neatly made);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia giving advice to her roommate Liz in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. Liz has olive skin, short curly hair, and green eyes. They are both wearing casual clothes. The dorm room is cozy with posters on the walls, a desk with books, and a neatly made bed. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] giving advice to her roommate Liz in their dorm room. Liz is [Liz description]. They are wearing [clothes]. The dorm room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_concerned_liz_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Liz (18, olive skin, short curly hair, green eyes, wearing casual clothes);Dorm room (cozy, posters on walls, desk with books, bed neatly made);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia concerned for her roommate Liz in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. Liz has olive skin, short curly hair, and green eyes. They are both wearing casual clothes. The dorm room is cozy with posters on the walls, a desk with books, and a neatly made bed. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] concerned for her roommate Liz in their dorm room. Liz is [Liz description]. They are wearing [clothes]. The dorm room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_zara_concerned_quad_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Zara (19, dark skin, long black hair, brown eyes, wearing casual clothes);University quad (open space, students walking, trees, benches);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia witnessing a disturbing incident in the university quad. Amelia has fair skin, long brown hair, and blue eyes. Zara has dark skin, long black hair, and brown eyes. They are both wearing casual clothes. The university quad is an open space with students walking, trees, and benches. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] witnessing a disturbing incident in the university quad. Zara is [Zara description]. They are wearing [clothes]. The university quad has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_angry_quad_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);University quad (open space, students walking, trees, benches);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia feeling angry in the university quad. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The university quad is an open space with students walking, trees, and benches. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] feeling angry in the university quad. They are wearing [clothes]. The university quad has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_confronting_harassers_quad_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Harassers (varied appearances, male and female students);University quad (open space, students walking, trees, benches);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia confronting harassers in the university quad. Amelia has fair skin, long brown hair, and blue eyes. The harassers have varied appearances and are male and female students. Amelia is wearing casual clothes. The university quad is an open space with students walking, trees, and benches. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] confronting harassers in the university quad. The harassers are [harasser descriptions]. They are wearing [clothes]. The university quad has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_comforting_zara_quad_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Zara (19, dark skin, long black hair, brown eyes, wearing casual clothes);University quad (open space, students walking, trees, benches);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia comforting Zara in the university quad. Amelia has fair skin, long brown hair, and blue eyes. Zara has dark skin, long black hair, and brown eyes. They are both wearing casual clothes. The university quad is an open space with students walking, trees, and benches. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] comforting Zara in the university quad. Zara is [Zara description]. They are wearing [clothes]. The university quad has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_reporting_incident_office_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Zara (19, dark skin, long black hair, brown eyes, wearing casual clothes);Student affairs office (official environment, desk, chairs, staff member);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia reporting an incident at the student affairs office. Amelia has fair skin, long brown hair, and blue eyes. Zara has dark skin, long black hair, and brown eyes. They are both wearing casual clothes. The student affairs office has an official environment with a desk, chairs, and a staff member. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] reporting an incident at the student affairs office. Zara is [Zara description]. They are wearing [clothes]. The student affairs office has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_concerned_sarah_student_lounge_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Sarah (18, pale skin, short blonde hair, blue eyes, wearing casual clothes);Student lounge (comfortable seating, students studying, casual atmosphere);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia concerned for Sarah in the student lounge. Amelia has fair skin, long brown hair, and blue eyes. Sarah has pale skin, short blonde hair, and blue eyes. They are both wearing casual clothes. The student lounge has comfortable seating, students studying, and a casual atmosphere. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] concerned for Sarah in the student lounge. Sarah is [Sarah description]. They are wearing [clothes]. The student lounge has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_approaching_sarah_student_lounge_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Sarah (18, pale skin, short blonde hair, blue eyes, wearing casual clothes);Student lounge (comfortable seating, students studying, casual atmosphere);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia approaching Sarah in the student lounge. Amelia has fair skin, long brown hair, and blue eyes. Sarah has pale skin, short blonde hair, and blue eyes. They are both wearing casual clothes. The student lounge has comfortable seating, students studying, and a casual atmosphere. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] approaching Sarah in the student lounge. Sarah is [Sarah description]. They are wearing [clothes]. The student lounge has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show sarah_opening_up_student_lounge_full;Sarah (18, pale skin, short blonde hair, blue eyes, wearing casual clothes);Student lounge (comfortable seating, students studying, casual atmosphere);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Sarah opening up in the student lounge. Sarah has pale skin, short blonde hair, and blue eyes. She is wearing casual clothes. The student lounge has comfortable seating, students studying, and a casual atmosphere. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] opening up in the student lounge. They are wearing [clothes]. The student lounge has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show sarah_hesitant_student_lounge_full;Sarah (18, pale skin, short blonde hair, blue eyes, wearing casual clothes);Student lounge (comfortable seating, students studying, casual atmosphere);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Sarah feeling hesitant in the student lounge. Sarah has pale skin, short blonde hair, and blue eyes. She is wearing casual clothes. The student lounge has comfortable seating, students studying, and a casual atmosphere. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] feeling hesitant in the student lounge. They are wearing [clothes]. The student lounge has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_reflecting_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, desk with books, bed neatly made);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia reflecting in her dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is cozy with posters on the walls, a desk with books, and a neatly made bed. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] reflecting in her dorm room. They are wearing [clothes]. The dorm room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_determined_dorm_night_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room at night (cozy, posters on walls, desk with books, bed neatly made, dim lighting);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia feeling determined in her dorm room at night. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is cozy with posters on the walls, a desk with books, a neatly made bed, and dim lighting. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] feeling determined in her dorm room at night. They are wearing [clothes]. The dorm room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_waking_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing pajamas);Dorm room (cozy, posters on walls, desk with books, bed neatly made, morning light);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia waking up in her dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing pajamas. The room is cozy with posters on the walls, a desk with books, a neatly made bed, and morning light. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] waking up in her dorm room. They are wearing [clothes]. The dorm room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_thinking_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, desk with books, bed neatly made);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia thinking in her dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is cozy with posters on the walls, a desk with books, and a neatly made bed. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] thinking in her dorm room. They are wearing [clothes]. The dorm room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_visiting_mba_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Marine Biological Association (aquarium tanks, marine displays, scientific equipment);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia visiting the Marine Biological Association. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The Marine Biological Association has aquarium tanks, marine displays, and scientific equipment. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] visiting the Marine Biological Association. They are wearing [clothes]. The Marine Biological Association has [environment details]. [Artstyle] art style.
