chapter;show keyword;characters;environment;artstyle;ai prompt;prompt format template
2_call_to_adventure.rpy;show amelia_journal_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Train (window seat, scenery passing by, journal in hand);Semi-realistic;An 18-year-old girl named Amelia is writing in her journal while sitting on a train. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes and looks thoughtful. The train has a window seat with scenery passing by. Watercolor art style.;A [character age]-year-old [character description] writing in a journal on a train, looking out the window at [environment]. They are wearing [clothes] and [emotion]. The train has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_observe_landscape_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Train (window seat, scenery passing by);Semi-realistic;An 18-year-old girl named Amelia is observing the passing landscape while sitting on a train. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes and looks thoughtful. The train has a window seat with scenery passing by. Watercolor art style.;A [character age]-year-old [character description] observing the passing landscape on a train, looking out the window at [environment]. They are wearing [clothes] and [emotion]. The train has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_meet_professor_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Professor (middle-aged, fair skin, short grey hair, wearing a suit);Train (seats, calm atmosphere);Semi-realistic;An 18-year-old girl named Amelia is meeting a professor on the train. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The professor is middle-aged with fair skin, short grey hair, and wearing a suit. They are sitting on a train with seats and a calm atmosphere. Watercolor art style.;A [character age]-year-old [character description] meeting a professor on a train. The professor is [professor description]. They are sitting on a train with [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_plymouth_campus_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Plymouth campus (beautiful, buildings, greenery, students walking);Semi-realistic;An 18-year-old girl named Amelia is arriving at the beautiful Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The campus has beautiful buildings, greenery, and students walking around. Watercolor art style.;A [character age]-year-old [character description] arriving at the beautiful Plymouth campus. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_explore_campus_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Plymouth campus (exploring, buildings, greenery, students walking);Semi-realistic;An 18-year-old girl named Amelia is exploring the Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The campus has buildings, greenery, and students walking around. Watercolor art style.;A [character age]-year-old [character description] exploring the Plymouth campus. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_library_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Library (shelves of books, quiet, academic atmosphere);Semi-realistic;An 18-year-old girl named Amelia is visiting the library. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The library has shelves of books, a quiet atmosphere, and an academic feel. Watercolor art style.;A [character age]-year-old [character description] visiting the library. They are wearing [clothes]. The library has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_psych_department_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Psychology department (posters, notices, academic atmosphere);Semi-realistic;An 18-year-old girl named Amelia is visiting the psychology department. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The department has posters, notices, and an academic atmosphere. Watercolor art style.;A [character age]-year-old [character description] visiting the psychology department. They are wearing [clothes]. The department has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_ask_directions_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Plymouth campus (busy, students walking, sunny day);Semi-realistic;An 18-year-old girl named Amelia is asking for directions on the busy Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The campus is busy with students walking around on a sunny day. Watercolor art style.;A [character age]-year-old [character description] asking for directions on the busy Plymouth campus. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_friendly_student_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Student (same age, fair skin, short blonde hair, wearing casual clothes);Plymouth campus (busy, students walking, sunny day);Semi-realistic;An 18-year-old girl named Amelia is engaging with a friendly student on the busy Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The student has fair skin, short blonde hair, and is wearing casual clothes. The campus is busy with students walking around on a sunny day. Watercolor art style.;A [character age]-year-old [character description] engaging with a friendly student on the busy Plymouth campus. The student is [student description]. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_staff_member_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Staff member (middle-aged, dark skin, short black hair, wearing professional attire);Plymouth campus (busy, students walking, sunny day);Semi-realistic;An 18-year-old girl named Amelia is engaging with a helpful staff member on the busy Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The staff member is middle-aged with dark skin, short black hair, and wearing professional attire. The campus is busy with students walking around on a sunny day. Watercolor art style.;A [character age]-year-old [character description] engaging with a helpful staff member on the busy Plymouth campus. The staff member is [staff member description]. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_hidden_garden_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Hidden garden (beautiful, tranquil, lush greenery, flowers, birds);Semi-realistic;An 18-year-old girl named Amelia is discovering a hidden garden. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The garden is beautiful, tranquil, with lush greenery, flowers, and birds. Watercolor art style.;A [character age]-year-old [character description] discovering a hidden garden. They are wearing [clothes]. The garden has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_dorm_room_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor);Semi-realistic;An 18-year-old girl named Amelia is in her new dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. Watercolor art style.;A [character age]-year-old [character description] in her new dorm room. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_academic_posters_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor);Semi-realistic;An 18-year-old girl named Amelia is decorating her dorm room with academic posters. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. Watercolor art style.;A [character age]-year-old [character description] decorating her dorm room with academic posters. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_psychologists_posters_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters of famous psychologists on walls, books on a desk, suitcase on floor);Semi-realistic;An 18-year-old girl named Amelia is decorating her dorm room with posters of famous psychologists. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters of famous psychologists on the walls, a desk with books, and a suitcase on the floor. Watercolor art style.;A [character age]-year-old [character description] decorating her dorm room with posters of famous psychologists. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_quotes_posters_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters with inspiring quotes on walls, books on a desk, suitcase on floor);Semi-realistic;An 18-year-old girl named Amelia is decorating her dorm room with posters with inspiring quotes. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters with inspiring quotes on the walls, a desk with books, and a suitcase on the floor. Watercolor art style.;A [character age]-year-old [character description] decorating her dorm room with posters with inspiring quotes. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_personal_photos_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, personal photos on walls, books on a desk, suitcase on floor);Semi-realistic;An 18-year-old girl named Amelia is decorating her dorm room with personal photos. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has personal photos on the walls, a desk with books, and a suitcase on the floor. Watercolor art style.;A [character age]-year-old [character description] decorating her dorm room with personal photos. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_family_photos_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, family photos on walls, books on a desk, suitcase on floor);Semi-realistic;An 18-year-old girl named Amelia is decorating her dorm room with family photos. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has family photos on the walls, a desk with books, and a suitcase on the floor. Watercolor art style.;A [character age]-year-old [character description] decorating her dorm room with family photos. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_travel_memories_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, travel photos on walls, books on a desk, suitcase on floor);Semi-realistic;An 18-year-old girl named Amelia is decorating her dorm room with travel photos. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has travel photos on the walls, a desk with books, and a suitcase on the floor. Watercolor art style.;A [character age]-year-old [character description] decorating her dorm room with travel photos. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_meet_roommate_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Liz (18, olive skin, short curly hair, green eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor);Semi-realistic;An 18-year-old girl named Amelia is meeting her new roommate Liz in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. Liz has olive skin, short curly hair, and green eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. Watercolor art style.;A [character age]-year-old [character description] meeting her new roommate in their dorm room. The roommate is [roommate description]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_roommate_confession_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Liz (18, olive skin, short curly hair, green eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor);Semi-realistic;An 18-year-old girl named Amelia is having a heart-to-heart conversation with her roommate Liz in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. Liz has olive skin, short curly hair, and green eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. Watercolor art style.;A [character age]-year-old [character description] having a heart-to-heart conversation with her roommate in their dorm room. The roommate is [roommate description]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_orientation_week_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Plymouth campus (busy, students walking, event booths);Semi-realistic;An 18-year-old girl named Amelia is participating in orientation week at Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The campus is busy with students walking around and event booths set up. Watercolor art style.;A [character age]-year-old [character description] participating in orientation week at Plymouth campus. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_academic_seminar_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Lecture hall (seats filled with students, professor at front, projector screen);Semi-realistic;An 18-year-old girl named Amelia is attending an academic seminar in a lecture hall. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The lecture hall has seats filled with students, a professor at the front, and a projector screen. Watercolor art style.;A [character age]-year-old [character description] attending an academic seminar in a lecture hall. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_ask_question_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Professor (middle-aged, fair skin, short grey hair, wearing a suit);Lecture hall (seats filled with students, professor at front, projector screen);Semi-realistic;An 18-year-old girl named Amelia is asking a question during an academic seminar in a lecture hall. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The professor is middle-aged with fair skin, short grey hair, and wearing a suit. The lecture hall has seats filled with students, a professor at the front, and a projector screen. Watercolor art style.;A [character age]-year-old [character description] asking a question during an academic seminar in a lecture hall. The professor is [professor description]. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_take_notes_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Lecture hall (seats filled with students, professor at front, projector screen);Semi-realistic;An 18-year-old girl named Amelia is taking detailed notes during an academic seminar in a lecture hall. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The lecture hall has seats filled with students, a professor at the front, and a projector screen. Watercolor art style.;A [character age]-year-old [character description] taking detailed notes during an academic seminar in a lecture hall. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_social_mixer_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Plymouth campus (busy, students mingling, social event setup);Semi-realistic;An 18-year-old girl named Amelia is attending a social mixer at Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The campus is busy with students mingling and a social event setup. Watercolor art style.;A [character age]-year-old [character description] attending a social mixer at Plymouth campus. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_join_club_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Plymouth campus (club booths, students walking, sunny day);Semi-realistic;An 18-year-old girl named Amelia is joining clubs during orientation week at Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The campus has club booths set up, students walking around, and it is a sunny day. Watercolor art style.;A [character age]-year-old [character description] joining clubs during orientation week at Plymouth campus. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_volunteer_event_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Plymouth campus (volunteer event setup, students participating, sunny day);Semi-realistic;An 18-year-old girl named Amelia is volunteering for events during orientation week at Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The campus has a volunteer event setup, students participating, and it is a sunny day. Watercolor art style.;A [character age]-year-old [character description] volunteering for events during orientation week at Plymouth campus. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_dinner_with_faculty_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing semi-formal clothes), Faculty (professors, wearing formal attire);Dining hall (elegant, tables set for dinner, warm lighting);Semi-realistic;An 18-year-old girl named Amelia is attending a dinner with the psychology faculty in the elegant dining hall. Amelia has fair skin, long brown hair, and blue eyes. She is wearing semi-formal clothes. The faculty consists of professors wearing formal attire. The dining hall is elegant with tables set for dinner and warm lighting. Watercolor art style.;A [character age]-year-old [character description] attending a dinner with the psychology faculty in [environment]. The faculty consists of [faculty description]. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_first_classes_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Classroom (desks, blackboard, students, professor at front);Semi-realistic;An 18-year-old girl named Amelia is attending her first classes. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The classroom has desks, a blackboard, students, and a professor at the front. Watercolor art style.;A [character age]-year-old [character description] attending her first classes. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_class_discussion_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Classroom (desks, blackboard, students, professor at front);Semi-realistic;An 18-year-old girl named Amelia is participating in a class discussion. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The classroom has desks, a blackboard, students, and a professor at the front. Watercolor art style.;A [character age]-year-old [character description] participating in a class discussion. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_unique_perspective_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Classroom (desks, blackboard, students, professor at front);Semi-realistic;An 18-year-old girl named Amelia is offering a unique perspective during a class discussion. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The classroom has desks, a blackboard, students, and a professor at the front. Watercolor art style.;A [character age]-year-old [character description] offering a unique perspective during a class discussion. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_personal_experiences_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Classroom (desks, blackboard, students, professor at front);Semi-realistic;An 18-year-old girl named Amelia is relating the discussion to her personal experiences. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The classroom has desks, a blackboard, students, and a professor at the front. Watercolor art style.;A [character age]-year-old [character description] relating the discussion to her personal experiences. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_observe_notes_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Classroom (desks, blackboard, students, professor at front);Semi-realistic;An 18-year-old girl named Amelia is observing and taking notes during a class discussion. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The classroom has desks, a blackboard, students, and a professor at the front. Watercolor art style.;A [character age]-year-old [character description] observing and taking notes during a class discussion. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_professor_lecture_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Professor (middle-aged, fair skin, short grey hair, wearing a suit);Classroom (desks, blackboard, students, professor at front);Semi-realistic;An 18-year-old girl named Amelia is focusing on the professor's lecture. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The professor is middle-aged with fair skin, short grey hair, and wearing a suit. The classroom has desks, a blackboard, students, and a professor at the front. Watercolor art style.;A [character age]-year-old [character description] focusing on the professor's lecture. The professor is [professor description]. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_classmates_reactions_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Classmates (diverse, various expressions, casual clothes);Classroom (desks, blackboard, students, professor at front);Semi-realistic;An 18-year-old girl named Amelia is observing her classmates' reactions during a lecture. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The classmates are diverse with various expressions and are wearing casual clothes. The classroom has desks, a blackboard, students, and a professor at the front. Watercolor art style.;A [character age]-year-old [character description] observing her classmates' reactions during a lecture. The classmates are [classmates description]. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_professor_praise_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Professor (middle-aged, fair skin, short grey hair, wearing a suit);Classroom (desks, blackboard, students, professor at front);Semi-realistic;An 18-year-old girl named Amelia is being praised by her professor after class. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The professor is middle-aged with fair skin, short grey hair, and wearing a suit. The classroom has desks, a blackboard, students, and a professor at the front. Watercolor art style.;A [character age]-year-old [character description] being praised by her professor after class. The professor is [professor description]. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_campus_cafe_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Campus café (cozy, warm lighting, tables with chairs);Semi-realistic;An 18-year-old girl named Amelia is sitting in a cozy campus café. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The café has warm lighting and tables with chairs. Watercolor art style.;A [character age]-year-old [character description] sitting in a cozy campus café. They are wearing [clothes]. The café has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_study_group_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Students (diverse, casual clothes);Study group room (desks, whiteboard, books, collaborative atmosphere);Semi-realistic;An 18-year-old girl named Amelia is participating in a study group. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The study group consists of diverse students wearing casual clothes. The room has desks, a whiteboard, books, and a collaborative atmosphere. Watercolor art style.;A [character age]-year-old [character description] participating in a study group. The students are [students description]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
