file;show;character;environment;artstyle;description;prompt;;;;;
chapter_12.rpy;show amelia_in_room_with_ella;Amelia and Ella (18; fair skin; Amelia with long brown hair; Ella with short red hair; sitting and talking);Ella’s Room (favorite spot; reminiscing);Semi-realistic;Two 18-year-old girls named Amelia and Ella sitting and talking in Ella’s favorite spot. Amelia has fair skin and long brown hair, and Ella has fair skin and short red hair. The room is cozy. Semi-realistic art style.;Two [character age]-year-old girls named Amelia and Ella sitting and talking in Ella’s favorite spot. Amelia has fair skin and long brown hair, and Ella has fair skin and short red hair. The room is [environment details]. [Artstyle] art style.
chapter_12.rpy;show amelia_smiling;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling);Ella’s Room (favorite spot; reminiscing);Semi-realistic;An 18-year-old girl named Amelia smiling. Amelia has fair skin, long brown hair, and blue eyes. The room is cozy. Semi-realistic art style.;A [character age]-year-old [character description] smiling. The room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_thankful;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - thankful);Ella’s Room (favorite spot; reminiscing);Semi-realistic;An 18-year-old girl named Amelia feeling thankful. Amelia has fair skin, long brown hair, and blue eyes. The room is cozy. Semi-realistic art style.;A [character age]-year-old [character description] feeling thankful. The room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_reflecting;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - reflecting);Ella’s Room (favorite spot; reminiscing);Semi-realistic;An 18-year-old girl named Amelia reflecting. Amelia has fair skin, long brown hair, and blue eyes. The room is cozy. Semi-realistic art style.;A [character age]-year-old [character description] reflecting. The room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_nodding;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - nodding);Ella’s Room (favorite spot; reminiscing);Semi-realistic;An 18-year-old girl named Amelia nodding. Amelia has fair skin, long brown hair, and blue eyes. The room is cozy. Semi-realistic art style.;A [character age]-year-old [character description] nodding. The room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_family_dinner;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - with family);Dining Room (family dinner);Semi-realistic;An 18-year-old girl named Amelia with her family at the dining table. Amelia has fair skin, long brown hair, and blue eyes. The dining room is cozy. Semi-realistic art style.;A [character age]-year-old [character description] with family at the dining table. The dining room is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_smiling_teary;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling with teary eyes);Dining Room (family dinner);Semi-realistic;An 18-year-old girl named Amelia smiling with teary eyes. Amelia has fair skin, long brown hair, and blue eyes. The dining room is cozy. Semi-realistic art style.;A [character age]-year-old [character description] smiling with teary eyes. The dining room is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show lily_looking_up_to_amelia;Lily (younger sister; fair skin; short brown hair; looking up to Amelia);Dining Room (family dinner);Semi-realistic;A younger girl named Lily looking up to her older sister Amelia. Lily has fair skin and short brown hair. The dining room is cozy. Semi-realistic art style.;A [character age]-year-old [character description] looking up to her older sister Amelia. The dining room is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_smiling_warmly;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling warmly);Dining Room (family dinner);Semi-realistic;An 18-year-old girl named Amelia smiling warmly. Amelia has fair skin, long brown hair, and blue eyes. The dining room is cozy. Semi-realistic art style.;A [character age]-year-old [character description] smiling warmly. The dining room is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_checking_email;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - checking email);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia checking her email. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] checking her email. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show hawthorne_email;Professor Hawthorne’s email (congratulating Amelia);Email Interface;Semi-realistic;An email from Professor Hawthorne congratulating Amelia. The email interface is modern. Semi-realistic art style.;An email from [character description] congratulating Amelia. The email interface is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_smiling_at_email;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling at email);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia smiling at an email. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] smiling at an email. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_getting_call;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - getting a call);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia getting a call. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] getting a call. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_on_phone;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - on the phone);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia on the phone. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] on the phone. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_receiving_letter;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - receiving letter);Living Room (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia receiving a letter. Amelia has fair skin, long brown hair, and blue eyes. The living room is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] receiving a letter. The living room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show maya_letter;Maya’s letter (filled with words of wisdom and encouragement);Letter Interface;Semi-realistic;A letter from Maya filled with words of wisdom and encouragement. The letter interface is elegant. Semi-realistic art style.;A letter from [character description] filled with words of wisdom and encouragement. The letter interface is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_tearful_smile;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - tearful smile);Living Room (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia with a tearful smile. Amelia has fair skin, long brown hair, and blue eyes. The living room is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] with a tearful smile. The living room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_in_room_reflecting;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - reflecting in room);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia reflecting in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] reflecting in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_journal_open;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - journal open);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia with her journal open. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] with her journal open. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_looking_at_phone;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - looking at phone);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia looking at her phone. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] looking at her phone. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_waiting_for_response;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - waiting for a response);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia waiting for a response on her phone. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] waiting for a response on her phone. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_sitting_on_bed;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - sitting on bed);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia sitting on her bed. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] sitting on her bed. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_reflecting_on_sarah;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - reflecting on Sarah);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia reflecting on her friend Sarah. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] reflecting on her friend Sarah. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_flashback_sarah;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - with Sarah in flashback);Hospital Room (somber; emotional);Semi-realistic;A flashback scene with an 18-year-old girl named Amelia with her friend Sarah in a hospital room. Amelia has fair skin, long brown hair, and blue eyes. The hospital room is somber and emotional. Semi-realistic art style.;A flashback scene with a [character age]-year-old girl named Amelia with her friend Sarah in a hospital room. Amelia has fair skin, long brown hair, and blue eyes. The hospital room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_grieving_sarah;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - grieving for Sarah);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia grieving for her friend Sarah. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] grieving for her friend Sarah. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_reflecting_in_mirror;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - reflecting in mirror);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia reflecting in a mirror. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] reflecting in a mirror. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_in_living_room_with_family;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - with family);Living Room (cozy; nighttime);Semi-realistic;An 18-year-old girl named Amelia with her family in the cozy living room at night. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] with family in the cozy living room at night. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_smiling_warmly;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling warmly);Living Room (cozy; nighttime);Semi-realistic;An 18-year-old girl named Amelia smiling warmly. Amelia has fair skin, long brown hair, and blue eyes. The living room is cozy at night. Semi-realistic art style.;A [character age]-year-old [character description] smiling warmly. The living room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_enthusiastic;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - enthusiastic);Living Room (cozy; nighttime);Semi-realistic;An 18-year-old girl named Amelia feeling enthusiastic. Amelia has fair skin, long brown hair, and blue eyes. The living room is cozy at night. Semi-realistic art style.;A [character age]-year-old [character description] feeling enthusiastic. The living room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_in_bed;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - lying in bed);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia lying in bed. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] lying in bed. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_in_room_preparing;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - preparing in room);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia preparing in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] preparing in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_leaving_home;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - leaving home);Front Door (waving goodbye);Semi-realistic;An 18-year-old girl named Amelia leaving home and waving goodbye. Amelia has fair skin, long brown hair, and blue eyes. The front door is cozy. Semi-realistic art style.;A [character age]-year-old [character description] leaving home and waving goodbye. The front door is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show reunion_location;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - arriving at reunion);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia arriving at a reunion in a trendy café. Amelia has fair skin, long brown hair, and blue eyes. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] arriving at a reunion in a trendy café. The café is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_greeting_friends;Amelia and friends (18; fair skin; Amelia with long brown hair; greeting friends);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia greeting her friends in a trendy café. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] greeting her friends in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_sitting_with_friends;Amelia and friends (18; fair skin; Amelia with long brown hair; sitting and talking with friends);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia sitting and talking with her friends in a trendy café. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] sitting and talking with her friends in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show group_laughing;Amelia and friends (18; fair skin; Amelia with long brown hair; laughing together);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia and her friends laughing together in a trendy café. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] and her friends laughing together in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_nodding;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - nodding);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia nodding in agreement. Amelia has fair skin, long brown hair, and blue eyes. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] nodding in agreement. The café is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_blushing;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - blushing);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia blushing. Amelia has fair skin, long brown hair, and blue eyes. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] blushing. The café is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show friends_toasting;Amelia and friends (18; fair skin; Amelia with long brown hair; toasting together);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia and her friends toasting together in a trendy café. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] and her friends toasting together in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_emotional;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - feeling emotional);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia feeling emotional. Amelia has fair skin, long brown hair, and blue eyes. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] feeling emotional. The café is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_talking_to_lucas;Amelia and Lucas (18; fair skin; Amelia with long brown hair; talking to Lucas);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia talking to her friend Lucas in a trendy café. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] talking to her friend Lucas in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show lucas_confiding;Lucas (18; fair skin; dark hair; confiding in Amelia);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old boy named Lucas confiding in his friend Amelia in a trendy café. Lucas has fair skin and dark hair. The café is buzzing with energy. Semi-realistic art style.;An [character age]-year-old [character description] confiding in his friend Amelia in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_touched;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - feeling touched);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia feeling touched. Amelia has fair skin, long brown hair, and blue eyes. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] feeling touched. The café is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_hugging_lucas;Amelia and Lucas (18; fair skin; Amelia with long brown hair; hugging);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia hugging her friend Lucas in a trendy café. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] hugging her friend Lucas in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_talking_to_zara;Amelia and Zara (18; fair skin; Amelia with long brown hair; talking to Zara);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia talking to her friend Zara in a trendy café. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] talking to her friend Zara in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show zara_confiding;Zara (18; medium brown skin; curly hair; confiding in Amelia);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Zara confiding in her friend Amelia in a trendy café. Zara has medium brown skin and curly hair. The café is buzzing with energy. Semi-realistic art style.;An [character age]-year-old [character description] confiding in her friend Amelia in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_listening;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - listening);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia listening intently. Amelia has fair skin, long brown hair, and blue eyes. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] listening intently. The café is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_smiling;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia smiling. Amelia has fair skin, long brown hair, and blue eyes. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] smiling. The café is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show zara_hugging_amelia;Zara and Amelia (18; medium brown skin; curly hair; Amelia with long brown hair; hugging);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Zara hugging her friend Amelia in a trendy café. Zara has medium brown skin and curly hair. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;An [character age]-year-old [character description] hugging her friend Amelia in a trendy café. The café is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_talking_to_raj;Amelia and Raj (18; fair skin; Amelia with long brown hair; talking to Raj);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia talking to her friend Raj in a trendy café. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] talking to her friend Raj in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show raj_confiding;Raj (18; medium brown skin; short black hair; confiding in Amelia);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old boy named Raj confiding in his friend Amelia in a trendy café. Raj has medium brown skin and short black hair. The café is buzzing with energy. Semi-realistic art style.;An [character age]-year-old [character description] confiding in his friend Amelia in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show group_talking_and_laughing;Amelia and friends (18; fair skin; Amelia with long brown hair; talking and laughing together);Trendy Café (buzzing with energy);Semi-realistic;An 18-year-old girl named Amelia and her friends talking and laughing together in a trendy café. Amelia has fair skin and long brown hair. The café is buzzing with energy. Semi-realistic art style.;A [character age]-year-old [character description] and her friends talking and laughing together in a trendy café. The café is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_and_friends_at_end_of_night;Amelia and friends (18; fair skin; Amelia with long brown hair; at the end of the night);Outside Café (cool night air);Semi-realistic;An 18-year-old girl named Amelia and her friends at the end of the night, standing outside a café. Amelia has fair skin and long brown hair. The night air is cool. Semi-realistic art style.;A [character age]-year-old [character description] and her friends at the end of the night, standing outside a café. The night air is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_smiling_content;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling contentedly);Outside Café (cool night air);Semi-realistic;An 18-year-old girl named Amelia smiling contentedly. Amelia has fair skin, long brown hair, and blue eyes. The night air is cool. Semi-realistic art style.;A [character age]-year-old [character description] smiling contentedly. The night air is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_walking_home;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - walking home);Street (quiet; nighttime);Semi-realistic;An 18-year-old girl named Amelia walking home at night. Amelia has fair skin, long brown hair, and blue eyes. The street is quiet. Semi-realistic art style.;A [character age]-year-old [character description] walking home at night. The street is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_smiling_upward;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling upward);Street (quiet; nighttime);Semi-realistic;An 18-year-old girl named Amelia smiling upward at night. Amelia has fair skin, long brown hair, and blue eyes. The street is quiet. Semi-realistic art style.;A [character age]-year-old [character description] smiling upward at night. The street is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_packing_bag;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - packing bag);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia packing a bag in her bedroom. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] packing a bag in her bedroom. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_meeting_mentor;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - meeting mentor);Café (quiet; meeting mentor);Semi-realistic;An 18-year-old girl named Amelia meeting her mentor in a quiet café. Amelia has fair skin, long brown hair, and blue eyes. The café is quiet. Semi-realistic art style.;A [character age]-year-old [character description] meeting her mentor in a quiet café. The café is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_smiling_sitting;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling while sitting);Café (quiet; meeting mentor);Semi-realistic;An 18-year-old girl named Amelia smiling while sitting in a quiet café. Amelia has fair skin, long brown hair, and blue eyes. The café is quiet. Semi-realistic art style.;A [character age]-year-old [character description] smiling while sitting in a quiet café. The café is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show hawthorne_nodding;Professor Hawthorne (mentor; nodding);Café (quiet; meeting Amelia);Semi-realistic;Amelia's mentor, Professor Hawthorne, nodding in a quiet café. Semi-realistic art style.;Amelia's mentor, [character description], nodding in a quiet café. [Artstyle] art style.;;;
chapter_12.rpy;show amelia_grateful;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - feeling grateful);Café (quiet; meeting mentor);Semi-realistic;An 18-year-old girl named Amelia feeling grateful. Amelia has fair skin, long brown hair, and blue eyes. The café is quiet. Semi-realistic art style.;A [character age]-year-old [character description] feeling grateful. The café is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show hawthorne_nodding;Professor Hawthorne (mentor; nodding);Café (quiet; meeting Amelia);Semi-realistic;Amelia's mentor, Professor Hawthorne, nodding in a quiet café. Semi-realistic art style.;Amelia's mentor, [character description], nodding in a quiet café. [Artstyle] art style.;;;
