"Show keyword";"Prompt"
"amelia_michael_decline";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, politely declining Michael's invitation to join a protest in Hoe Park. Michael has medium brown skin and short black hair. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's respectful expression and the serene environment."
"amelia_walking_park";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, continuing her walk through Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression and the serene environment."
"student_union";"The interior of the student union at Plymouth University, with comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the vibrant social environment."
"amelia_lucas_zara_union";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting with Lucas and Zara in the student union. Lucas has fair skin and dark hair, and Zara has medium brown skin and curly hair. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged conversation and the social environment."
"amelia_smiling_union";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, smiling while talking to Lucas and Zara in the student union. Lucas has fair skin and dark hair, and Zara has medium brown skin and curly hair. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's cheerful expression and the social environment."
"zara_thoughtful_union";"Zara, with medium brown skin and curly hair, looking thoughtful while talking to Amelia and Lucas in the student union. Lucas has fair skin and dark hair, and Amelia has fair skin, long brown hair, and blue eyes. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Zara's contemplative expression and the social environment."
"amelia_concerned_lucas";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking concerned while talking to Lucas in the student union. Lucas has fair skin and dark hair. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's worried expression and the supportive atmosphere."
"lucas_sighing_union";"Lucas, an 18-year-old boy with fair skin and dark hair, sighing while talking to Amelia in the student union. Amelia has fair skin, long brown hair, and blue eyes. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's stressed expression and the supportive environment."
"amelia_supportive_lucas";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking supportive while talking to Lucas in the student union. Lucas has fair skin and dark hair. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's caring expression and the supportive atmosphere."
"lucas_smiling_union";"Lucas, an 18-year-old boy with fair skin and dark hair, smiling at Amelia in the student union. Amelia has fair skin, long brown hair, and blue eyes. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's appreciative expression and the supportive environment."
"amelia_caring_lucas";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking caring while talking to Lucas in the student union. Lucas has fair skin and dark hair. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's supportive expression and the supportive atmosphere."
"amelia_dorm_evening";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting in her dorm room in the evening. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she reflects on her day."
"amelia_library";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in the library, surrounded by books and notes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she studies diligently."
"amelia_reading_book";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in the library, reading an ancient philosophy book. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she delves into the book."
"amelia_researching_occult";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in a dimly lit room, researching occult practices. The room is filled with candles, ancient books, and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression and the enigmatic atmosphere."
"sophia_approaches_library";"Sophia, an 18-year-old girl with olive skin and short curly black hair, approaching Amelia's desk in the library. Amelia has fair skin, long brown hair, and blue eyes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sophia's tentative expression and Amelia's focused environment."
"sophia_upset";"Sophia, an 18-year-old girl with olive skin and short curly black hair, looking upset while talking to Amelia in the library. Amelia has fair skin, long brown hair, and blue eyes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sophia's distressed expression and the academic environment."
"amelia_sophia_talking";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, talking to Sophia, an 18-year-old girl with olive skin and short curly black hair, in the library. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their serious conversation and the academic environment."
"amelia_sophia_working_together";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, working together with Sophia, an 18-year-old girl with olive skin and short curly black hair, in the library. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their focused collaboration and the academic environment."
"amelia_studying_focused";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting alone at a desk in the library, deeply focused on her work. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's intense concentration and the academic environment."
"amelia_classroom";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting in a classroom at Plymouth University. The classroom is filled with students, desks, and a professor at the front. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she engages with the lecture."
"prof_hawthorne_teaching";"Prof. Hawthorne, an older man with graying hair and glasses, teaching a class on ethical psychology. The classroom is filled with students, desks, and educational materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Prof. Hawthorne's passionate expression and the educational environment."
"amelia_raising_hand";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, raising her hand to participate in class. The classroom is filled with students, desks, and educational materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's engaged expression and the academic environment."
"prof_hawthorne_impressed";"Prof. Hawthorne, an older man with graying hair and glasses, looking impressed while interacting with Amelia in class. Amelia has fair skin, long brown hair, and blue eyes. The classroom is filled with students, desks, and educational materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Prof. Hawthorne's approving expression and the educational environment."
"amelia_prof_hawthorne_office";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting in Prof. Hawthorne's office. Prof. Hawthorne is an older man with graying hair and glasses. The office is filled with books, academic papers, and a desk. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their serious discussion and the academic environment."
"amelia_excited";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking excited while talking to Prof. Hawthorne. Prof. Hawthorne is an older man with graying hair and glasses. The office is filled with books, academic papers, and a desk. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's enthusiastic expression and the academic environment."
"amelia_curious";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking curious while talking to Prof. Hawthorne. Prof. Hawthorne is an older man with graying hair and glasses. The office is filled with books, academic papers, and a desk. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's inquisitive expression and the academic environment."
"amelia_nodding";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, nodding in agreement while talking to Prof. Hawthorne. Prof. Hawthorne is an older man with graying hair and glasses. The office is filled with books, academic papers, and a desk. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's attentive expression and the academic environment."
"amelia_declining";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, politely declining an offer while talking to Prof. Hawthorne. Prof. Hawthorne is an older man with graying hair and glasses. The office is filled with books, academic papers, and a desk. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's respectful expression and the academic environment."
"amelia_writing_notes";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in a classroom, taking detailed notes during a lecture. The classroom is filled with students, desks, and educational materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression and the academic environment."
"amelia_prof_hawthorne_discussing";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, discussing the theoretical framework of her project with Prof. Hawthorne. Prof. Hawthorne is an older man with graying hair and glasses. The office is filled with books, academic papers, and a desk. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged discussion and the academic environment."
"amelia_prof_hawthorne_analyzing";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, analyzing data with Prof. Hawthorne. Prof. Hawthorne is an older man with graying hair and glasses. The office is filled with books, academic papers, and a desk. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their focused analysis and the academic environment."
"amelia_prof_hawthorne_ethics";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, reviewing the ethical implications of her research with Prof. Hawthorne. Prof. Hawthorne is an older man with graying hair and glasses. The office is filled with books, academic papers, and a desk. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their serious discussion and the academic environment."
"amelia_library_peer";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting with Raj in the library, collaborating on their projects. Raj has dark brown skin and short black hair. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their collaborative effort and focused expressions."
"amelia_peer_discussing";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, discussing project details with Raj in the library. Raj has dark brown skin and short black hair. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged discussion and the academic environment."
"amelia_raj_project";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, focusing on Raj's project in the library. Raj has dark brown skin and short black hair. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their collaborative effort and focused expressions."
"amelia_balancing_projects";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, balancing her work with Raj's project in the library. Raj has dark brown skin and short black hair. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their collaborative effort and focused expressions."
"amelia_own_project";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, prioritizing her project in the library. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression and the academic environment."
"amelia_studying_intense";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting alone at a desk in the library, intensely focused on her work. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's intense concentration and the academic environment."
"amelia_presenting_project";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, presenting her project in front of her class. The classroom is filled with students, desks, and educational materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's confident expression and the academic environment."
"prof_hawthorne_proud";"Prof. Hawthorne, an older man with graying hair and glasses, looking proud while listening to Amelia's presentation. Amelia has fair skin, long brown hair, and blue eyes. The classroom is filled with students, desks, and educational materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Prof. Hawthorne's approving expression and the academic environment."
"amelia_lucas_dorm";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, finding Lucas in their dorm room, clearly upset. Lucas has fair skin and dark hair. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's distressed expression and the supportive atmosphere."
"lucas_distressed";"Lucas, an 18-year-old boy with fair skin and dark hair, looking distressed while talking to Amelia in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's troubled expression and the supportive atmosphere."
"amelia_hugging_lucas";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, hugging Lucas in their dorm room to provide comfort. Lucas has fair skin and dark hair. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their supportive embrace and the emotional atmosphere."
"lucas_confiding";"Lucas, an 18-year-old boy with fair skin and dark hair, confiding in Amelia in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's vulnerable expression and the supportive atmosphere."
"amelia_serious";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking serious while talking to Lucas in their dorm room. Lucas has fair skin and dark hair. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's concerned expression and the supportive atmosphere."
"amelia_hugging_lucas";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, hugging Lucas in their dorm room to provide comfort. Lucas has fair skin and dark hair. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their supportive embrace and the emotional atmosphere."
"lucas_smiling";"Lucas, an 18-year-old boy with fair skin and dark hair, smiling at Amelia in their dorm room. Amelia has fair skin, long brown hair, and blue eyes. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's grateful expression and the supportive atmosphere."
"amelia_confronting_tasha";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, confronting Tasha in a hallway at Plymouth University. Tasha has dark skin and long black hair. The hallway is lined with lockers and students passing by. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's determined expression and the tense atmosphere."
"tasha_surprised";"An 18-year-old girl named Tasha, with dark skin and long black hair, looking surprised while being confronted by Amelia in a hallway at Plymouth University. The hallway is lined with lockers and students passing by. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's surprised expression and the tense atmosphere."
"amelia_angry";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking angry while confronting Tasha in a hallway at Plymouth University. Tasha has dark skin and long black hair. The hallway is lined with lockers and students passing by. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's determined expression and the tense atmosphere."
"tasha_defensive";"An 18-year-old girl named Tasha, with dark skin and long black hair, looking defensive while being confronted by Amelia in a hallway at Plymouth University. The hallway is lined with lockers and students passing by. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's defensive expression and the tense atmosphere."
"amelia_serious";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking serious while confronting Tasha in a hallway at Plymouth University. Tasha has dark skin and long black hair. The hallway is lined with lockers and students passing by. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's determined expression and the tense atmosphere."
"tasha_thinking";"An 18-year-old girl named Tasha, with dark skin and long black hair, looking thoughtful while being confronted by Amelia in a hallway at Plymouth University. The hallway is lined with lockers and students passing by. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's contemplative expression and the tense atmosphere."
"tasha_sigh";"An 18-year-old girl named Tasha, with dark skin and long black hair, sighing while being confronted by Amelia in a hallway at Plymouth University. The hallway is lined with lockers and students passing by. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's resigned expression and the tense atmosphere."
"tasha_smiling";"An 18-year-old girl named Tasha, with dark skin and long black hair, smiling slightly while talking to Amelia in a hallway at Plymouth University. The hallway is lined with lockers and students passing by. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's thoughtful expression and the hopeful atmosphere."
"amelia_ritual_preparation";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, preparing for a high-stakes occult ritual in a dimly lit room. The room is filled with candles, ancient books, and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's determined expression and the enigmatic atmosphere."
"amelia_ritual_circle";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, standing in a ritual circle, feeling the energy shift around her. The room is filled with candles, ancient books, and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression and the mystical atmosphere."
"maya_ritual";"Maya, an 18-year-old girl with dark skin and braided hair, guiding Amelia through a high-stakes occult ritual. Amelia has fair skin, long brown hair, and blue eyes. The room is filled with candles, ancient books, and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Maya's calm guidance and Amelia's focused participation."
"amelia_ritual_spell";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, speaking an incantation during a high-stakes occult ritual. The room is filled with candles, ancient books, and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression and the mystical atmosphere."
"amelia_ritual_complete";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, completing a high-stakes occult ritual and feeling empowered. The room is filled with candles, ancient books, and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's confident expression and the mystical atmosphere."
