"Show keyword";"prompt"
"student_union";"A busy student union filled with students talking, studying, and hanging out. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the vibrant and social environment."
"amelia_lucas_raj_union";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, talking to Lucas and Raj in the student union. Lucas has fair skin and short brown hair, and Raj has medium brown skin and short black hair. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged conversation and the social environment."
"amelia_smiling_union";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, smiling while talking to her friends in the student union. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's cheerful expression and the social environment."
"lucas_smiling_union";"An 18-year-old boy named Lucas, with fair skin and short brown hair, smiling while talking to his friends in the student union. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's cheerful expression and the social environment."
"amelia_excited_union";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking excited while talking to her friends in the student union. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's enthusiastic expression and the social environment."
"raj_nodding_union";"An 18-year-old boy named Raj, with medium brown skin and short black hair, nodding while talking to his friends in the student union. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Raj's attentive expression and the social environment."
"lucas_thoughtful_union";"An 18-year-old boy named Lucas, with fair skin and short brown hair, looking thoughtful while talking to his friends in the student union. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's contemplative expression and the social environment."
"amelia_serious_union";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking serious while talking to her friends in the student union. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's concerned expression and the social environment."
"amelia_happy_practice";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking happy while practicing with her friends for a festival performance. The scene is set in a cozy room with musical instruments and practice materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's joyful expression and the collaborative atmosphere."
"amelia_raj_lucas_practice";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, practicing with Raj and Lucas for a festival performance. Raj has medium brown skin and short black hair, and Lucas has fair skin and short brown hair. The scene is set in a cozy room with musical instruments and practice materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged expressions and the collaborative atmosphere."
"amelia_dorm_night";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting in her dorm room at night. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she reflects on her day and prepares for bed."
"amelia_zara_cafeteria";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting with Zara in the university cafeteria. Zara has medium brown skin and curly hair. The cafeteria is busy with students eating and talking. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their friendly conversation and the social atmosphere."
"zara_smiling_cafeteria";"Zara, with medium brown skin and curly hair, smiling while talking to Amelia in the university cafeteria. The cafeteria is busy with students eating and talking. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Zara's cheerful expression and the social atmosphere."
"amelia_meditating_dorm";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, meditating in her dorm room. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's serene expression and the peaceful atmosphere."
"amelia_secret_meeting";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, attending a secret society meeting at night. The room is dimly lit with candles and mysterious symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's curious expression and the enigmatic atmosphere."
"occult_leader_speaking";"An occult leader, dressed in dark, mystical robes, speaking to a group of attendees in a dimly lit room. The room is filled with candles, mysterious symbols, and an air of secrecy. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the leader's commanding presence and the attentive audience."
"amelia_listening_intently";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, listening intently during a secret society meeting. The room is dimly lit with candles and mysterious symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression and the enigmatic atmosphere."
"ritual_circle";"A group of people standing in a circle, holding hands, and performing a ritual. The room is dimly lit with candles and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the solemn and mystical atmosphere of the ritual."
"amelia_ritual_participation";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, participating in a ritual, standing in a circle and holding hands with others. The room is dimly lit with candles and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression and the solemn atmosphere of the ritual."
"amelia_studying_texts";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in a dimly lit room, studying esoteric texts. The room is filled with candles, ancient books, and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression and the enigmatic atmosphere."
"amelia_absorbed_study";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, deeply absorbed in studying esoteric texts at a desk in a dimly lit room. The room is filled with candles, ancient books, and mystical symbols. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's intense focus and the enigmatic atmosphere."
"amelia_maya_cafe";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, talking to Maya in a cozy café. Maya has medium brown skin and curly hair. The café has warm lighting, comfortable seating, and a welcoming atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged conversation and the relaxed environment."
"maya_listening_cafe";"Maya, with medium brown skin and curly hair, listening intently while talking to Amelia in a cozy café. The café has warm lighting, comfortable seating, and a welcoming atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Maya's attentive expression and the relaxed environment."
"amelia_reflecting_dorm";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting in her dorm room, reflecting on her experiences. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression and the introspective atmosphere."
"amelia_research_lab";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, working in a psychological research lab. The lab is filled with scientific equipment, computers, and research materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression and the scientific atmosphere."
"prof_hawthorne_research_lab";"Prof. Hawthorne, in his mid-40s with graying hair and glasses, talking to Amelia in the research lab. The lab is filled with scientific equipment, computers, and research materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the professor's thoughtful expression and the engaged atmosphere."
"amelia_thinking_lab";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking thoughtful while working in the research lab. The lab is filled with scientific equipment, computers, and research materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's contemplative expression and the scientific atmosphere."
"prof_hawthorne_nodding";"Prof. Hawthorne, in his mid-40s with graying hair and glasses, nodding in approval in the research lab. The lab is filled with scientific equipment, computers, and research materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the professor's approving expression and the engaged atmosphere."
"amelia_studying_lab";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, focused on studying data in the research lab. The lab is filled with scientific equipment, computers, and research materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's intense concentration and the scientific atmosphere."
"prof_hawthorne_impressed";"Prof. Hawthorne, in his mid-40s with graying hair and glasses, looking impressed in the research lab. The lab is filled with scientific equipment, computers, and research materials. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the professor's impressed expression and the engaged atmosphere."
"amelia_dorm_afternoon";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting in her dorm room in the afternoon. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she takes a break."
"amelia_studying_dorm";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in her dorm room, surrounded by books and notes. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she studies diligently."
"amelia_walking_campus";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, walking around the Plymouth University campus. The campus is vibrant with students walking around, buildings in the background, and a sunny sky. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she takes a walk."
"amelia_at_hoe_park";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, standing in Hoe Park, taking in the fresh air and beautiful scenery. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's relaxed expression and the serene environment."
"tasha_confronting";"An 18-year-old girl named Tasha, with dark skin and long black hair, confronting Amelia in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's confrontational expression and the tense atmosphere."
"amelia_determined_tasha";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking determined while confronting Tasha in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's resolute expression and the tense atmosphere."
"tasha_surprised";"An 18-year-old girl named Tasha, with dark skin and long black hair, looking surprised while confronting Amelia in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's surprised expression and the tense atmosphere."
"amelia_calm_tasha";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking calm while trying to defuse a situation with Tasha in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's serene expression and the tense atmosphere."
"tasha_indifferent";"An 18-year-old girl named Tasha, with dark skin and long black hair, looking indifferent while confronting Amelia in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's indifferent expression and the tense atmosphere."
"michael_introducing";"An 18-year-old boy named Michael, with medium brown skin and short black hair, introducing himself to Amelia in Hoe Park. Michael is handing out flyers. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Michael's friendly expression and the serene environment."
"amelia_michael_protest";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, joining a protest with Michael in Hoe Park. Michael has medium brown skin and short black hair. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their determined expressions and the activist atmosphere."
"amelia_michael_decline";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, politely declining Michael's invitation to join a protest in Hoe Park. Michael has medium brown skin and short black hair. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's respectful expression and the serene environment."
"amelia_walking_park";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, continuing her walk through Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression and the serene environment."
"amelia_zara_sarah_union";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting with Zara and Sarah in the student union. Zara has medium brown skin and curly hair, and Sarah has fair skin, middle-length blond hair, and blue eyes. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged conversation and the social environment."
"amelia_smiling_union";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, smiling while talking to Zara and Sarah in the student union. Zara has medium brown skin and curly hair, and Sarah has fair skin, middle-length blond hair, and blue eyes. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's cheerful expression and the social environment."
"zara_thoughtful_union";"Zara, with medium brown skin and curly hair, looking thoughtful while talking to Amelia and Sarah in the student union. Sarah has fair skin, middle-length blond hair, and blue eyes. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Zara's contemplative expression and the social environment."
"amelia_concerned_sarah";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking concerned while talking to Sarah in the student union. Sarah has fair skin, middle-length blond hair, and blue eyes. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's worried expression and the supportive atmosphere."
"sarah_sighing_union";"Sarah, with fair skin, middle-length blond hair, and blue eyes, sighing while talking to Amelia in the student union. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sarah's tired expression and the supportive atmosphere."
"amelia_supportive_sarah";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking supportive while talking to Sarah in the student union. Sarah has fair skin, middle-length blond hair, and blue eyes. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's caring expression and the supportive atmosphere."
"sarah_smiling_union";"Sarah, with fair skin, middle-length blond hair, and blue eyes, smiling while talking to Amelia in the student union. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sarah's cheerful expression and the supportive atmosphere."
"amelia_inviting_sarah";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, inviting Sarah to a self-care activity in the student union. Sarah has fair skin, middle-length blond hair, and blue eyes. The union has comfortable seating, tables, and a lively atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's supportive expression and the social environment."
"amelia_library";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in the library, surrounded by books and notes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she studies diligently."
"amelia_studying_library";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in the library, surrounded by books and notes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she studies diligently."
"amelia_walking_campus";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, walking around the Plymouth University campus. The campus is vibrant with students walking around, buildings in the background, and a sunny sky. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she takes a walk."
"amelia_at_hoe_park";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, standing in Hoe Park, taking in the fresh air and beautiful scenery. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's relaxed expression and the serene environment."
"amelia_reading_book";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in the library, reading an ancient philosophy book. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she delves into the book."
